Date,Open,High,Low,Close,Adj Close,Volume
1997-06-18,26.125,26.875,26.125,26.75,9.176153182983398,7918300
1997-06-19,26.875,27.0,26.5,26.625,9.133277893066406,1472400
1997-06-20,26.75,26.75,26.25,26.375,9.047516822814941,1030200
1997-06-23,26.375,26.375,26.125,26.125,8.961760520935059,628900
1997-06-24,26.1875,26.25,26.0625,26.0625,8.940322875976562,541800
1997-06-25,26.25,26.5625,26.25,26.4375,9.068960189819336,570500
1997-06-26,26.75,27.0,26.5625,27.0,9.261914253234863,488700
1997-06-27,27.0,27.125,26.75,26.875,9.219038963317871,586400
1997-06-30,26.8125,27.5,26.25,27.25,9.347671508789062,629800
1997-07-01,27.125,27.125,26.625,26.625,9.133277893066406,269700
1997-07-02,26.375,26.625,26.375,26.375,9.047516822814941,350800
1997-07-03,26.4375,26.75,26.4375,26.625,9.133277893066406,173000
1997-07-07,26.875,26.9375,26.5,26.75,9.176153182983398,449500
1997-07-08,26.6875,26.875,26.625,26.6875,9.154720306396484,239400
1997-07-09,26.625,26.6875,26.5,26.5625,9.111833572387695,226000
1997-07-10,26.5,26.5,26.3125,26.375,9.047516822814941,425100
1997-07-11,26.375,26.5,26.3125,26.4375,9.068960189819336,326300
1997-07-14,26.6875,27.1875,26.625,26.75,9.176153182983398,311000
1997-07-15,26.9375,26.9375,26.5625,26.6875,9.154720306396484,534400
1997-07-16,26.6875,27.0,26.625,26.875,9.219038963317871,443700
1997-07-17,26.9375,27.1875,26.9375,27.0625,9.283356666564941,443800
1997-07-18,27.0,27.0625,26.375,26.625,9.133277893066406,359600
1997-07-21,26.375,26.875,26.25,26.8125,9.197600364685059,422700
1997-07-22,26.8125,26.9375,26.75,26.8125,9.197600364685059,246500
1997-07-23,26.9375,26.9375,26.8125,26.8125,9.197600364685059,196900
1997-07-24,26.9375,27.125,26.75,27.0625,9.283356666564941,481800
1997-07-25,27.1875,27.375,27.125,27.3125,9.369112014770508,225800
1997-07-28,27.1875,27.375,27.0,27.3125,9.369112014770508,127600
1997-07-29,27.25,27.5625,27.1875,27.4375,9.411996841430664,350200
1997-07-30,27.4375,27.625,27.0,27.5625,9.454876899719238,126600
1997-07-31,27.5625,28.0,27.5,27.875,9.5620698928833,203500
1997-08-01,27.9375,27.9375,27.25,27.875,9.5620698928833,85200
1997-08-04,27.9375,28.0,27.1875,27.875,9.5620698928833,115600
1997-08-05,27.6875,28.3125,27.5625,28.125,9.647830963134766,152900
1997-08-06,28.0,29.375,27.9375,29.375,10.07662296295166,234900
1997-08-07,29.3125,29.375,29.25,29.25,10.033740997314453,358900
1997-08-08,29.0,29.0,28.0,29.0,9.94798755645752,387300
1997-08-11,28.875,28.9375,27.625,28.1875,9.669269561767578,164700
1997-08-12,28.25,28.375,27.9375,27.9375,9.583512306213379,437100
1997-08-13,28.0,28.25,27.5,27.6875,9.497756004333496,323000
1997-08-14,27.5625,27.75,27.5,27.5,9.433431625366211,89800
1997-08-15,27.625,27.75,27.5,27.625,9.476311683654785,120200
1997-08-18,27.5625,27.8125,27.5,27.8125,9.540628433227539,177000
1997-08-19,27.8125,28.3125,27.75,28.25,9.69071102142334,161300
1997-08-20,28.375,28.9375,28.1875,28.6875,9.840784072875977,206500
1997-08-21,28.6875,29.0625,28.5625,29.0,9.94798755645752,133000
1997-08-22,28.6875,29.5,28.4375,29.25,10.033740997314453,449700
1997-08-25,29.25,29.375,29.125,29.3125,10.055181503295898,227300
1997-08-26,29.375,29.375,29.25,29.25,10.033740997314453,266800
1997-08-27,29.25,29.5,29.25,29.3125,10.055181503295898,183200
1997-08-28,29.375,29.75,29.25,29.5625,10.140938758850098,177900
1997-08-29,29.5625,30.0,29.5625,29.8125,10.226703643798828,176600
1997-09-02,29.75,30.1875,29.6875,29.875,10.248139381408691,194000
1997-09-03,30.0,30.375,29.875,29.9375,10.269577026367188,296000
1997-09-04,30.0,30.0625,29.5,29.625,10.162379264831543,250400
1997-09-05,29.625,31.5,29.625,30.875,10.591170310974121,395800
1997-09-08,31.25,31.375,31.0,31.1875,10.69837474822998,193200
1997-09-09,31.0625,31.4375,31.0,31.0,10.634052276611328,242300
1997-09-10,31.125,31.3125,30.5,30.5625,10.483969688415527,328500
1997-09-11,30.5625,30.8125,30.0625,30.125,10.333898544311523,110400
1997-09-12,30.4375,30.625,30.375,30.5625,10.483969688415527,63400
1997-09-15,30.6875,31.0,30.5,31.0,10.634052276611328,249600
1997-09-16,31.125,32.0625,31.125,31.8125,10.912763595581055,425200
1997-09-17,32.25,33.0625,31.625,31.75,10.891325950622559,552400
1997-09-18,31.625,32.0625,31.625,32.0,10.97708797454834,223600
1997-09-19,32.25,32.375,31.75,32.0,10.97708797454834,110500
1997-09-22,31.9375,32.25,31.8125,31.9375,10.955645561218262,213500
1997-09-23,31.875,31.9375,31.375,31.5625,10.827012062072754,198400
1997-09-24,31.6875,31.875,31.625,31.875,10.934208869934082,83300
1997-09-25,31.75,32.125,31.75,32.125,11.019962310791016,111400
1997-09-26,31.9375,32.4375,31.75,32.4375,11.127163887023926,116800
1997-09-29,32.75,33.25,32.5625,33.25,11.405877113342285,59300
1997-09-30,33.125,33.125,32.75,32.8125,11.255802154541016,282700
1997-10-01,32.75,33.875,32.75,33.75,11.577397346496582,67900
1997-10-02,33.8125,34.25,33.8125,34.0,11.663151741027832,136000
1997-10-03,34.125,34.5,33.75,33.9375,11.641716957092285,73700
1997-10-06,33.9375,34.0625,33.25,33.5,11.491637229919434,235200
1997-10-07,33.25,33.25,32.4375,32.8125,11.255802154541016,101300
1997-10-08,32.9375,33.5,32.9375,33.1875,11.384443283081055,98200
1997-10-09,33.0625,33.0625,32.6875,32.8125,11.255802154541016,88200
1997-10-10,32.6875,32.8125,31.5,32.5,11.148602485656738,158300
1997-10-13,32.6875,32.75,32.5625,32.75,11.234359741210938,130400
1997-10-14,32.6875,33.375,32.6875,33.25,11.405877113342285,215700
1997-10-15,33.25,33.5,33.1875,33.3125,11.42731761932373,247000
1997-10-16,33.25,33.375,32.25,32.375,11.10572338104248,167300
1997-10-17,32.125,32.1875,31.625,32.0,10.97708797454834,266700
1997-10-20,31.875,32.0,31.75,31.9375,10.955645561218262,57700
1997-10-21,31.9375,32.0,31.5,31.5,10.805574417114258,178400
1997-10-22,31.625,32.25,31.625,31.75,10.891325950622559,100600
1997-10-23,31.625,31.625,30.46875,31.1875,10.69837474822998,85800
1997-10-24,31.25,31.875,31.25,31.875,10.934208869934082,203800
1997-10-27,31.75,31.75,30.875,30.875,10.591170310974121,145800
1997-10-28,28.5,30.0,28.5,30.0,10.291020393371582,472600
