Date,Open,High,Low,Close,Adj Close,Volume
1998-08-18,12.875,13.125,12.875,13.0,10.224071502685547,5783000
1998-08-19,13.0,13.25,13.0,13.0,10.224071502685547,388700
1998-08-20,13.125,13.25,13.0,13.0,10.224071502685547,348500
1998-08-21,13.0,13.0,13.0,13.0,10.224071502685547,804000
1998-08-24,13.0,13.0,13.0,13.0,10.224071502685547,119700
1998-08-25,13.0,13.0,12.875,13.0,10.224071502685547,294100
1998-08-26,13.0,13.0,12.125,12.25,9.634222984313965,383800
1998-08-27,12.25,12.375,10.75,11.125,8.749446868896484,435300
1998-08-28,11.375,11.375,10.0,10.0,7.864670276641846,192400
1998-08-31,10.0,10.125,7.625,8.125,6.390046119689941,150800
1998-09-01,8.25,9.0,6.6875,8.5,6.684969425201416,440700
1998-09-02,8.5,10.5,8.5,9.5625,7.5205912590026855,509200
1998-09-03,9.75,9.75,8.5,8.75,6.88158655166626,165900
1998-09-04,9.0,9.0,8.125,8.375,6.586662292480469,155700
1998-09-08,9.0,10.0,8.75,9.875,7.76636266708374,149300
1998-09-09,9.875,10.0,9.5,9.5,7.471437454223633,116900
1998-09-10,9.375,9.375,9.0,9.25,7.274819374084473,80700
1998-09-11,9.3125,9.375,9.0,9.0,7.07820463180542,84800
1998-09-14,9.25,9.625,9.0,9.0,7.07820463180542,90800
1998-09-15,9.125,9.25,8.625,8.75,6.88158655166626,200400
1998-09-16,8.75,8.75,7.75,7.875,6.193428993225098,221300
1998-09-17,7.875,8.625,7.875,8.28125,6.512930870056152,87300
1998-09-18,8.375,8.6875,7.75,8.25,6.488354206085205,147300
1998-09-21,7.875,8.0,6.875,7.0,5.5052690505981445,472900
1998-09-22,7.125,8.125,7.0625,8.0,6.291736602783203,728300
1998-09-23,8.25,8.625,8.0,8.375,6.586662292480469,382500
1998-09-24,8.5,9.375,8.5,9.0625,7.127358436584473,280800
1998-09-25,8.75,9.4375,8.75,9.375,7.373128414154053,44400
1998-09-28,9.5,9.875,9.375,9.375,7.373128414154053,26500
1998-09-29,9.5,9.75,9.25,9.53125,7.496016502380371,88300
1998-09-30,9.5,10.0625,9.375,9.625,7.569745063781738,172300
1998-10-01,9.625,9.625,8.875,8.875,6.979896068572998,85500
1998-10-02,8.875,9.25,8.875,8.875,6.979896068572998,58700
1998-10-05,8.75,8.875,8.0,8.0,6.291736602783203,63000
1998-10-06,9.0,9.125,8.0,8.375,6.586662292480469,129500
1998-10-07,8.375,8.625,7.8125,7.8125,6.144274711608887,340400
1998-10-08,7.75,7.8125,6.0,6.3125,4.964574813842773,346800
1998-10-09,7.0,7.125,6.125,6.25,4.915419578552246,271500
1998-10-12,6.5,6.5,6.0,6.25,4.915419578552246,660400
1998-10-13,6.25,7.5,6.25,7.0,5.5052690505981445,228600
1998-10-14,6.875,7.625,6.875,7.625,5.996811866760254,46400
1998-10-15,7.5,7.625,7.375,7.5625,5.947658061981201,44100
1998-10-16,7.8125,8.375,7.5,7.875,6.193428993225098,421600
1998-10-19,8.125,8.5625,8.0,8.5625,6.734124183654785,50600
1998-10-20,8.625,9.5,8.5,9.375,7.373128414154053,354800
1998-10-21,9.4375,10.375,9.4375,10.0,7.864670276641846,156000
1998-10-22,10.125,11.5,10.0,11.4375,8.995214462280273,134600
1998-10-23,11.625,13.125,11.375,13.0,10.224071502685547,411400
1998-10-26,13.0,13.0,12.625,12.75,10.027458190917969,125500
1998-10-27,12.875,13.375,12.375,12.4375,9.781683921813965,417500
1998-10-28,12.375,12.75,12.25,12.75,10.027458190917969,53000
1998-10-29,12.625,13.0625,11.75,12.0,9.437606811523438,280000
1998-10-30,12.0,12.875,11.875,12.875,10.12576675415039,198600
1998-11-02,12.9375,13.3125,12.625,12.875,10.12576675415039,105900
