Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,15.3125,15.4375,15.1875,15.3125,4.144484996795654,172800
1996-01-03,15.3125,15.3125,15.0625,15.0625,4.076821327209473,134000
1996-01-04,15.0625,15.0625,14.625,14.75,3.9922406673431396,846400
1996-01-05,14.75,14.8125,14.125,14.625,3.958406686782837,588200
1996-01-08,14.625,14.625,14.5,14.5,3.9245758056640625,86000
1996-01-09,14.4375,14.5625,14.25,14.5625,3.9414925575256348,780800
1996-01-10,14.5625,14.625,14.375,14.5,3.9245758056640625,1480000
1996-01-11,14.5,14.875,14.5,14.875,4.02607536315918,405600
1996-01-12,14.875,15.0625,14.6875,15.0,4.059905529022217,317600
1996-01-15,15.0,15.25,14.9375,15.1875,4.110653877258301,182000
1996-01-16,15.125,15.1875,14.75,14.75,3.9922406673431396,216000
1996-01-17,14.8125,14.8125,14.5625,14.625,3.958406686782837,260800
1996-01-18,14.6875,14.9375,14.6875,14.875,4.02607536315918,418000
1996-01-19,14.9375,15.125,14.875,15.125,4.093739032745361,297200
1996-01-22,15.0625,15.125,14.9375,15.0625,4.076821327209473,200800
1996-01-23,14.875,15.0,14.875,15.0,4.059905529022217,650800
1996-01-24,15.0,15.0,14.875,14.875,4.02607536315918,168800
1996-01-25,14.9375,15.125,14.875,15.0,4.059905529022217,356400
1996-01-26,15.125,15.125,15.0,15.0625,4.076821327209473,560400
1996-01-29,15.0625,15.125,15.0,15.0625,4.076821327209473,428800
1996-01-30,15.0625,15.25,15.0625,15.25,4.127571105957031,217200
1996-01-31,15.25,15.4375,15.25,15.375,4.161404609680176,175400
1996-02-01,15.3125,15.3125,15.1875,15.1875,4.110653877258301,72400
1996-02-02,15.125,15.375,15.0625,15.125,4.093739032745361,95200
1996-02-05,15.25,15.375,15.125,15.375,4.161404609680176,144800
1996-02-06,15.375,15.375,15.125,15.3125,4.144484996795654,266200
1996-02-07,15.375,15.4375,15.375,15.4375,4.178320407867432,136000
1996-02-08,15.4375,15.5,15.375,15.4375,4.178320407867432,258600
1996-02-09,15.5,15.5,15.4375,15.5,4.195237159729004,63000
1996-02-12,15.5,15.875,15.4375,15.625,4.229067325592041,359400
1996-02-13,15.75,16.25,15.6875,15.8125,4.279818534851074,161600
1996-02-14,15.9375,16.25,15.9375,16.125,4.364399433135986,226600
1996-02-15,16.125,16.1875,15.875,16.0,4.330564975738525,143200
1996-02-16,16.0,16.0625,16.0,16.0625,4.347484588623047,76000
1996-02-20,15.9375,16.0,15.875,15.9375,4.313649654388428,122400
1996-02-21,15.9375,16.0,15.8125,15.875,4.2967305183410645,39200
1996-02-22,16.0,16.125,15.5625,15.6875,4.2459845542907715,201000
1996-02-23,15.75,15.75,15.625,15.625,4.229067325592041,336000
1996-02-26,15.6875,15.6875,15.125,15.1875,4.110653877258301,210000
1996-02-27,15.25,15.75,15.25,15.75,4.262899875640869,103600
1996-02-28,15.75,15.9375,15.5,15.875,4.2967305183410645,130600
1996-02-29,15.9375,16.0,15.875,15.875,4.2967305183410645,239600
1996-03-01,16.0,16.125,15.875,16.0,4.330564975738525,156800
1996-03-04,16.0,16.0,15.8125,16.0,4.330564975738525,112600
1996-03-05,16.0,16.1875,15.96875,16.1875,4.3813157081604,46200
