Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,19.125,19.25,19.0,19.0,6.58355712890625,6700
1996-01-03,19.125,19.375,19.0,19.375,6.71349573135376,13400
1996-01-04,19.375,19.375,19.125,19.25,6.67018461227417,15800
1996-01-05,19.25,19.25,19.0,19.125,6.626871109008789,42900
1996-01-08,19.125,19.125,19.125,19.125,6.626871109008789,2600
1996-01-09,19.0,19.25,18.875,18.875,6.540245056152344,120500
1996-01-10,19.0,19.0,18.75,18.75,6.496933460235596,5700
1996-01-11,18.875,19.0,18.875,18.875,6.540245056152344,6800
1996-01-12,19.0,19.125,18.875,19.125,6.626871109008789,8200
1996-01-15,19.0,19.125,18.875,19.125,6.626871109008789,3400
1996-01-16,19.0,19.125,18.75,19.125,6.626871109008789,72000
1996-01-17,19.25,19.375,19.0,19.0,6.58355712890625,23800
1996-01-18,19.125,19.625,19.125,19.625,6.8001227378845215,20000
1996-01-19,19.625,19.75,19.5,19.75,6.843433380126953,54800
1996-01-22,19.75,19.75,19.5,19.5,6.75680685043335,11200
1996-01-23,19.75,19.75,19.375,19.375,6.71349573135376,70800
1996-01-24,19.5,19.75,19.5,19.625,6.8001227378845215,14700
1996-01-25,19.75,19.75,19.375,19.5,6.75680685043335,20500
1996-01-26,19.625,19.75,19.5,19.75,6.843433380126953,22800
1996-01-29,19.625,19.875,19.625,19.625,6.8001227378845215,24700
1996-01-30,19.625,19.875,19.625,19.875,6.886749267578125,65000
1996-01-31,19.875,20.125,19.75,20.0,6.930058002471924,34400
1996-02-01,20.0,20.125,19.875,20.125,6.973373889923096,43100
1996-02-02,20.0,20.125,19.75,20.0,6.930058002471924,39400
1996-02-05,20.125,20.125,19.875,20.0,6.930058002471924,15400
1996-02-06,20.0,20.125,19.875,20.0,6.930058002471924,22600
1996-02-07,20.0,20.0,19.875,19.875,6.886749267578125,12600
1996-02-08,20.125,20.625,20.125,20.5,7.103309631347656,74300
1996-02-09,20.375,20.75,20.25,20.75,7.189935684204102,44200
1996-02-12,20.75,21.0,20.625,21.0,7.2765607833862305,29300
1996-02-13,21.125,21.25,20.875,21.0,7.2765607833862305,57300
1996-02-14,21.25,21.25,20.75,21.125,7.319874286651611,36800
1996-02-15,21.0,21.125,20.5,20.875,7.233247756958008,60700
1996-02-16,20.75,21.0,20.625,20.75,7.189935684204102,25100
1996-02-20,20.625,20.875,20.25,20.625,7.1466264724731445,15300
1996-02-21,20.75,20.875,20.625,20.75,7.189935684204102,11400
1996-02-22,21.0,21.125,20.75,20.75,7.189935684204102,19700
1996-02-23,20.875,21.0,20.625,20.875,7.233247756958008,5400
1996-02-26,20.75,20.875,20.25,20.5,7.103309631347656,18400
1996-02-27,20.625,20.625,20.0,20.375,7.059999465942383,25800
1996-02-28,20.375,20.375,19.75,20.125,6.973373889923096,49200
1996-02-29,20.0,20.25,20.0,20.25,7.0166850090026855,16000
1996-03-01,20.25,20.25,19.875,19.875,6.886749267578125,6900
1996-03-04,20.0,20.0,19.625,19.75,6.843433380126953,21700
1996-03-05,19.875,20.0,19.75,19.875,6.886749267578125,41400
1996-03-06,19.875,20.5,19.875,20.25,7.0166850090026855,19500
1996-03-07,20.375,20.625,20.25,20.625,7.1466264724731445,11400
1996-03-08,20.5,20.5,20.0,20.125,6.973373889923096,37000
1996-03-11,19.875,20.25,19.875,20.0,6.930058002471924,4600
1996-03-12,20.375,20.5,19.75,19.75,6.843433380126953,21700
1996-03-13,19.875,20.625,19.75,20.5,7.103309631347656,13400
1996-03-14,20.625,20.875,20.625,20.75,7.189935684204102,6700
1996-03-15,20.625,20.75,20.625,20.625,7.1466264724731445,2600
1996-03-18,20.75,20.875,20.625,20.875,7.233247756958008,14300
1996-03-19,20.875,20.875,20.625,20.625,7.1466264724731445,6700
1996-03-20,20.625,20.75,20.625,20.625,7.1466264724731445,6700
1996-03-21,20.5,20.5,20.375,20.5,7.103309631347656,17000
1996-03-22,20.375,20.5,20.25,20.25,7.0166850090026855,12800
1996-03-25,20.25,20.375,20.25,20.25,7.0166850090026855,3200
1996-03-26,20.375,20.75,20.375,20.75,7.189935684204102,9500
1996-03-27,20.375,20.5,20.25,20.25,7.161641597747803,9100
1996-03-28,20.375,20.375,20.0,20.0,7.073226451873779,6400
1996-03-29,20.125,20.75,20.0,20.75,7.338473796844482,15100
1996-04-01,20.5,20.625,20.25,20.375,7.2058515548706055,12900
1996-04-02,20.5,20.75,20.5,20.75,7.338473796844482,2400
1996-04-03,20.625,20.625,20.375,20.625,7.294262409210205,6600
1996-04-04,20.75,20.75,20.5,20.625,7.294262409210205,4000
1996-04-08,20.375,20.375,20.25,20.375,7.2058515548706055,7500
1996-04-09,20.5,20.5,20.25,20.375,7.2058515548706055,6300
1996-04-10,20.375,20.75,20.125,20.375,7.2058515548706055,69100
1996-04-11,20.25,20.375,20.0,20.125,7.117434978485107,8400
1996-04-12,20.0,20.375,20.0,20.375,7.2058515548706055,3600
1996-04-15,20.75,20.75,20.25,20.25,7.161641597747803,11500
1996-04-16,20.5,20.5,20.125,20.125,7.117434978485107,6900
1996-04-17,20.125,20.375,19.625,19.75,6.984813690185547,16600
1996-04-18,19.75,20.0,19.625,19.75,6.984813690185547,4200
1996-04-19,20.0,20.375,19.875,20.25,7.161641597747803,8900
1996-04-22,20.375,20.375,20.25,20.375,7.2058515548706055,6900
1996-04-23,20.25,20.375,20.0,20.0,7.073226451873779,7500
1996-04-24,20.0,20.125,20.0,20.0,7.073226451873779,6400
1996-04-25,20.125,20.125,19.875,19.875,7.029017925262451,8100
1996-04-26,20.125,20.375,20.125,20.25,7.161641597747803,16400
1996-04-29,20.375,20.75,20.25,20.375,7.2058515548706055,11400
1996-04-30,20.25,20.625,20.25,20.625,7.294262409210205,11700
1996-05-01,20.5,20.875,20.5,20.875,7.382680892944336,8300
1996-05-02,20.875,20.875,20.25,20.375,7.2058515548706055,14000
1996-05-03,20.375,20.625,20.375,20.375,7.2058515548706055,4500
1996-05-06,20.375,20.5,20.375,20.375,7.2058515548706055,6600
1996-05-07,20.375,20.375,20.125,20.125,7.117434978485107,11900
1996-05-08,20.0,20.0,19.375,19.875,7.029017925262451,62700
1996-05-09,20.0,20.25,19.875,20.25,7.161641597747803,10600
1996-05-10,20.375,20.5,20.25,20.5,7.25006103515625,1800
1996-05-13,20.5,20.5,20.125,20.125,7.117434978485107,2300
1996-05-14,20.0,20.375,20.0,20.25,7.161641597747803,26200
1996-05-15,20.375,20.5,20.125,20.25,7.161641597747803,5400
1996-05-16,20.375,20.375,20.25,20.25,7.161641597747803,8500
1996-05-17,20.25,20.25,20.125,20.25,7.161641597747803,3900
1996-05-20,20.375,20.75,20.375,20.625,7.294262409210205,36100
1996-05-21,20.625,20.75,20.625,20.75,7.338473796844482,14500
1996-05-22,20.875,20.875,20.75,20.75,7.338473796844482,11100
1996-05-23,20.875,20.875,20.625,20.75,7.338473796844482,13500
1996-05-24,20.625,20.75,20.5,20.75,7.338473796844482,8600
1996-05-28,20.875,21.0,20.625,20.75,7.338473796844482,24600
1996-05-29,20.625,21.125,20.625,20.875,7.382680892944336,15700
1996-05-30,21.0,21.0,20.625,20.625,7.294262409210205,19400
1996-05-31,20.875,21.0,20.75,20.75,7.338473796844482,8200
1996-06-03,20.75,20.875,20.5,20.875,7.382680892944336,10900
1996-06-04,20.875,20.875,20.625,20.625,7.294262409210205,10500
1996-06-05,21.0,21.25,20.75,21.0,7.4268903732299805,15800
1996-06-06,21.0,21.125,20.625,20.625,7.294262409210205,7800
1996-06-07,20.625,20.875,20.625,20.875,7.382680892944336,6200
1996-06-10,21.0,21.5,21.0,21.25,7.515305519104004,38600
1996-06-11,21.375,21.5,20.875,21.0,7.4268903732299805,64100
1996-06-12,21.0,21.5,21.0,21.25,7.515305519104004,39400
1996-06-13,21.25,21.375,21.25,21.25,7.515305519104004,16600
1996-06-14,21.375,21.375,21.25,21.375,7.559508323669434,29900
1996-06-17,21.375,21.375,21.25,21.25,7.515305519104004,4200
1996-06-18,21.375,22.0,21.375,21.5,7.603718280792236,36800
1996-06-19,21.625,22.0,21.625,21.875,7.736342906951904,43300
1996-06-20,21.875,22.25,21.75,22.25,7.8689656257629395,48500
1996-06-21,22.375,22.375,21.875,22.0,7.780550956726074,20100
1996-06-24,21.875,22.5,21.875,22.375,7.913174152374268,15200
1996-06-25,22.375,22.5,22.0,22.0,7.780550956726074,38200
1996-06-26,22.0,22.375,21.75,22.0,7.931981086730957,70000
1996-06-27,21.875,22.0,21.375,21.625,7.796772480010986,16300
1996-06-28,21.625,21.875,21.375,21.5,7.751708030700684,39500
1996-07-01,21.375,21.875,21.375,21.875,7.886911869049072,15400
1996-07-02,22.0,22.0,21.625,22.0,7.931981086730957,14800
1996-07-03,21.875,22.5,21.75,22.375,8.067182540893555,13600
1996-07-05,22.375,22.375,22.25,22.375,8.067182540893555,4900
1996-07-08,22.25,22.375,22.0,22.375,8.067182540893555,9500
1996-07-09,22.125,22.125,21.625,22.125,7.977048873901367,15400
1996-07-10,22.375,22.375,21.875,22.125,7.977048873901367,13400
1996-07-11,21.875,22.0,21.375,22.0,7.931981086730957,16900
1996-07-12,21.625,21.875,21.625,21.75,7.841838836669922,9900
1996-07-15,21.75,21.875,21.625,21.875,7.886911869049072,4000
1996-07-16,22.0,22.125,21.875,22.125,7.977048873901367,16300
1996-07-17,22.0,22.125,22.0,22.125,7.977048873901367,12000
1996-07-18,22.0,22.125,21.75,22.125,7.977048873901367,7400
1996-07-19,22.25,22.5,22.0,22.5,8.112247467041016,46300
1996-07-22,22.5,23.125,22.5,23.125,8.33758544921875,44400
1996-07-23,23.125,23.125,22.625,22.75,8.20238971710205,29400
1996-07-24,22.875,22.875,22.375,22.625,8.157318115234375,16000
1996-07-25,22.5,22.75,22.125,22.75,8.20238971710205,12600
1996-07-26,22.75,23.125,22.75,23.125,8.33758544921875,16200
1996-07-29,23.125,23.375,23.125,23.375,8.427725791931152,50000
1996-07-30,23.375,23.375,22.625,22.875,8.247456550598145,41800
1996-07-31,22.75,22.875,22.25,22.25,8.022114753723145,43800
1996-08-01,22.5,23.0,22.5,22.625,8.157318115234375,18300
1996-08-02,22.75,23.25,22.625,23.25,8.382659912109375,41500
1996-08-05,23.125,23.25,22.875,23.0,8.292523384094238,28700
