Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,15.0,15.125,14.875,15.125,5.275708198547363,896600
1996-01-03,15.125,15.375,15.0625,15.375,5.362908840179443,830400
1996-01-04,15.4375,15.5,15.25,15.3125,5.34111213684082,801600
1996-01-05,15.125,15.4375,15.125,15.4375,5.384712219238281,724600
1996-01-08,15.375,15.375,15.3125,15.375,5.362908840179443,47400
1996-01-09,15.375,15.4375,15.25,15.3125,5.34111213684082,296000
1996-01-10,15.1875,15.375,15.1875,15.25,5.319313049316406,457600
1996-01-11,15.25,15.375,15.1875,15.3125,5.34111213684082,561200
1996-01-12,15.375,15.4375,15.25,15.375,5.362908840179443,421600
1996-01-15,15.3125,15.4375,15.3125,15.3125,5.34111213684082,259200
1996-01-16,15.375,15.375,15.1875,15.3125,5.34111213684082,1220000
1996-01-17,15.3125,15.5625,15.3125,15.5,5.40651273727417,1364800
1996-01-18,15.5625,15.5625,15.3125,15.5625,5.4283127784729,844000
1996-01-19,15.5,15.625,15.5,15.5625,5.4283127784729,810400
1996-01-22,15.5,15.5,15.375,15.375,5.362908840179443,276400
1996-01-23,15.3125,15.375,15.25,15.3125,5.34111213684082,345600
1996-01-24,15.375,15.5625,15.3125,15.4375,5.384712219238281,1308000
1996-01-25,15.375,15.4375,15.3125,15.375,5.362908840179443,1166600
1996-01-26,15.3125,15.4375,15.25,15.4375,5.384712219238281,448400
1996-01-29,15.375,15.4375,15.125,15.3125,5.34111213684082,374200
1996-01-30,15.375,15.4375,15.25,15.375,5.362908840179443,750000
1996-01-31,15.375,15.375,15.3125,15.375,5.362908840179443,439400
1996-02-01,15.4375,15.5625,15.4375,15.5,5.40651273727417,728400
1996-02-02,15.4375,15.5,15.3125,15.375,5.362908840179443,291600
1996-02-05,15.25,15.4375,15.1875,15.4375,5.384712219238281,576800
1996-02-06,15.375,15.5625,15.375,15.4375,5.384712219238281,727400
1996-02-07,15.4375,15.6875,15.4375,15.5625,5.4283127784729,1024400
1996-02-08,15.5625,15.6875,15.5,15.6875,5.471913814544678,703600
1996-02-09,15.6875,15.75,15.5625,15.6875,5.471913814544678,995000
1996-02-12,15.6875,15.75,15.625,15.75,5.650397777557373,614400
