Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,22.625,23.0,22.5,23.0,6.950464248657227,29400
1996-01-03,23.125,23.125,22.75,22.875,6.912689208984375,32500
1996-01-04,22.875,23.0,22.625,22.625,6.837139129638672,46700
1996-01-05,22.75,22.75,22.375,22.625,6.837139129638672,23200
1996-01-08,22.5,22.5,22.375,22.375,6.761593818664551,3400
1996-01-09,22.375,22.75,22.375,22.75,6.874917030334473,78600
1996-01-10,22.75,22.75,22.375,22.375,6.761593818664551,40100
1996-01-11,22.5,22.5,22.375,22.5,6.799365520477295,22400
1996-01-12,22.375,22.5,22.125,22.375,6.761593818664551,51000
1996-01-15,22.625,22.625,22.375,22.5,6.799365520477295,18000
1996-01-16,22.5,22.5,22.375,22.5,6.799365520477295,27000
1996-01-17,22.5,22.5,22.25,22.375,6.761593818664551,68200
1996-01-18,21.75,22.125,21.625,22.125,6.686045169830322,114400
1996-01-19,22.25,22.375,22.0,22.125,6.686045169830322,42000
1996-01-22,22.25,22.25,22.0,22.0,6.648266315460205,18600
1996-01-23,22.0,22.0,21.75,21.875,6.61049747467041,30800
1996-01-24,21.875,22.0,21.625,21.625,6.534946441650391,31000
1996-01-25,21.875,22.0,21.5,21.625,6.534946441650391,20700
1996-01-26,21.875,21.875,21.625,21.75,6.572722434997559,21400
1996-01-29,21.625,21.625,20.875,21.25,6.421626567840576,37100
1996-01-30,21.125,21.5,21.125,21.375,6.4593987464904785,15800
1996-01-31,21.375,21.5,21.125,21.375,6.4593987464904785,36200
1996-02-01,21.375,21.375,21.125,21.25,6.421626567840576,21200
1996-02-02,21.25,21.375,20.875,21.125,6.383849620819092,70500
1996-02-05,21.125,21.125,21.0,21.125,6.383849620819092,61400
1996-02-06,21.125,21.5,21.0,21.375,6.4593987464904785,42700
1996-02-07,21.125,21.25,21.125,21.25,6.421626567840576,29400
1996-02-08,21.25,21.25,21.125,21.125,6.383849620819092,97500
1996-02-09,21.25,21.5,21.25,21.375,6.4593987464904785,58400
1996-02-12,21.375,21.5,21.25,21.375,6.4593987464904785,36100
1996-02-13,21.25,21.375,21.25,21.25,6.421626567840576,52200
1996-02-14,21.25,21.25,20.5,20.625,6.232753276824951,146100
1996-02-15,20.5,20.625,20.25,20.375,6.157205581665039,86200
1996-02-16,20.375,21.125,20.25,21.125,6.383849620819092,141900
1996-02-20,21.0,21.25,21.0,21.25,6.421626567840576,45700
1996-02-21,21.125,21.5,21.125,21.5,6.497171401977539,50000
1996-02-22,21.625,22.0,21.5,22.0,6.648266315460205,64300
1996-02-23,22.0,22.0,21.25,21.5,6.497171401977539,101200
1996-02-26,21.5,21.875,21.5,21.875,6.61049747467041,25600
1996-02-27,21.875,22.125,21.875,22.0,6.648266315460205,48500
1996-02-28,22.125,22.25,22.0,22.125,6.686045169830322,59900
1996-02-29,22.125,22.5,22.0,22.5,6.799365520477295,28300
1996-03-01,22.5,22.625,22.25,22.5,6.799365520477295,22500
1996-03-04,22.5,22.625,22.5,22.5,6.799365520477295,38600
1996-03-05,22.625,22.75,22.5,22.75,6.874917030334473,44300
1996-03-06,22.625,22.75,22.5,22.625,6.837139129638672,18900
1996-03-07,22.625,22.75,22.5,22.75,6.874917030334473,18400
1996-03-08,22.5,22.75,22.375,22.375,6.761593818664551,19800
1996-03-11,22.25,22.75,22.0,22.625,6.837139129638672,29300
1996-03-12,22.5,22.75,22.5,22.75,6.874917030334473,35500
1996-03-13,22.625,22.75,22.625,22.625,6.837139129638672,29600
1996-03-14,22.625,22.75,22.5,22.5,6.799365520477295,26500
1996-03-15,22.375,22.625,22.375,22.375,6.761593818664551,19900
1996-03-18,22.375,22.5,22.125,22.375,6.761593818664551,31000
1996-03-19,22.5,22.75,22.375,22.625,6.837139129638672,23700
1996-03-20,22.875,23.125,22.875,23.0,6.950464248657227,43400
1996-03-21,22.375,22.75,22.375,22.625,6.9612298011779785,49500
1996-03-22,22.625,22.625,22.25,22.375,6.884315490722656,17900
1996-03-25,22.5,22.5,22.0,22.375,6.884315490722656,21000
1996-03-26,22.375,22.5,22.25,22.25,6.845852851867676,22100
1996-03-27,22.25,22.375,21.875,21.875,6.730474948883057,20300
1996-03-28,21.875,22.25,21.875,22.25,6.845852851867676,31600
1996-03-29,22.25,22.5,22.25,22.25,6.845852851867676,16100
1996-04-01,22.25,22.375,22.125,22.25,6.845852851867676,69500
1996-04-02,22.25,22.25,22.125,22.25,6.845852851867676,16800
1996-04-03,22.25,22.25,22.125,22.25,6.845852851867676,10100
1996-04-04,22.25,22.25,21.625,22.0,6.768928050994873,64900
1996-04-08,21.75,22.0,21.75,21.75,6.692014694213867,19700
1996-04-09,21.625,21.875,21.5,21.625,6.653553009033203,22400
1996-04-10,21.75,21.75,21.25,21.375,6.576634883880615,36300
1996-04-11,21.25,21.25,20.625,20.75,6.384335041046143,34900
1996-04-12,20.5,21.25,20.5,21.0,6.46125602722168,355500
1996-04-15,21.0,21.125,21.0,21.125,6.499711036682129,25100
1996-04-16,21.125,21.5,21.0,21.375,6.576634883880615,56500
1996-04-17,21.5,21.625,21.375,21.5,6.6150898933410645,38000
1996-04-18,21.625,21.625,21.375,21.375,6.576634883880615,50500
1996-04-19,21.625,21.75,21.5,21.75,6.692014694213867,17400
1996-04-22,21.625,21.75,21.625,21.75,6.692014694213867,16700
1996-04-23,21.75,22.0,21.625,21.625,6.653553009033203,33500
1996-04-24,21.75,21.75,21.5,21.625,6.653553009033203,15400
1996-04-25,21.625,21.625,21.375,21.5,6.6150898933410645,17900
1996-04-26,21.5,21.625,21.375,21.5,6.6150898933410645,11100
1996-04-29,21.5,21.875,21.5,21.75,6.692014694213867,14000
1996-04-30,21.875,22.0,21.75,21.75,6.692014694213867,25800
1996-05-01,21.75,22.0,21.625,21.75,6.692014694213867,15300
1996-05-02,21.875,22.0,21.625,21.625,6.653553009033203,28600
1996-05-03,21.75,21.75,21.5,21.625,6.653553009033203,19500
1996-05-06,21.625,21.75,21.625,21.75,6.692014694213867,26700
1996-05-07,21.625,21.75,21.5,21.5,6.6150898933410645,13000
1996-05-08,21.375,21.625,21.375,21.625,6.653553009033203,23100
1996-05-09,21.625,21.875,21.625,21.75,6.692014694213867,16400
1996-05-10,21.75,21.875,21.625,21.625,6.653553009033203,14000
1996-05-13,21.75,22.5,21.625,22.375,6.884315490722656,36400
1996-05-14,22.5,22.625,22.375,22.625,6.9612298011779785,28400
1996-05-15,22.625,22.625,22.25,22.25,6.845852851867676,23000
1996-05-16,22.125,22.125,21.75,21.75,6.692014694213867,10500
1996-05-17,21.5,21.75,21.25,21.75,6.692014694213867,61000
1996-05-20,22.0,22.125,21.5,21.625,6.653553009033203,42600
1996-05-21,21.625,21.625,21.125,21.125,6.499711036682129,47600
1996-05-22,21.25,21.25,21.125,21.25,6.538175106048584,16400
1996-05-23,21.25,21.25,21.125,21.25,6.538175106048584,23500
1996-05-24,21.25,21.25,21.0,21.125,6.499711036682129,46000
1996-05-28,21.125,21.25,21.0,21.0,6.46125602722168,26200
1996-05-29,21.125,21.125,20.875,21.0,6.46125602722168,18500
1996-05-30,21.125,21.625,21.125,21.625,6.653553009033203,23600
1996-05-31,21.625,21.625,21.375,21.625,6.653553009033203,19400
1996-06-03,21.625,21.75,21.625,21.75,6.692014694213867,37800
1996-06-04,21.625,21.75,21.625,21.75,6.692014694213867,16600
1996-06-05,21.75,21.75,21.5,21.75,6.692014694213867,19300
1996-06-06,21.5,21.875,21.5,21.875,6.730474948883057,24800
1996-06-07,21.75,21.875,21.75,21.875,6.730474948883057,11100
1996-06-10,21.75,21.875,21.625,21.75,6.692014694213867,27500
1996-06-11,22.0,22.0,21.375,21.625,6.653553009033203,165000
1996-06-12,21.75,21.875,21.625,21.75,6.692014694213867,17300
1996-06-13,21.875,21.875,21.625,21.875,6.730474948883057,19900
1996-06-14,21.875,22.5,21.875,22.5,6.922770023345947,21900
1996-06-17,22.5,22.75,22.375,22.625,6.9612298011779785,28400
1996-06-18,22.75,23.0,22.625,22.875,7.038153171539307,71600
1996-06-19,22.625,22.875,22.5,22.625,6.9612298011779785,26400
1996-06-20,22.5,22.625,22.375,22.5,6.922770023345947,18800
1996-06-21,22.75,22.75,22.5,22.625,6.9612298011779785,24200
1996-06-24,22.5,22.75,22.5,22.75,6.999695777893066,26400
1996-06-25,22.625,23.125,22.625,22.75,6.999695777893066,34400
1996-06-26,22.75,23.0,22.75,23.0,7.206484794616699,61400
1996-06-27,23.0,23.0,22.75,22.75,7.128158092498779,46800
1996-06-28,22.625,23.0,22.5,22.5,7.049821853637695,69100
1996-07-01,22.75,23.125,22.75,22.875,7.167323589324951,49600
1996-07-02,22.75,22.875,22.75,22.875,7.167323589324951,11200
1996-07-03,22.875,22.875,22.625,22.625,7.088986396789551,7300
1996-07-05,22.625,22.75,22.625,22.75,7.128158092498779,5100
1996-07-08,22.625,22.625,22.375,22.5,7.049821853637695,7900
