Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,7.90625,11.4375,7.5625,10.0,5.632040500640869,17149800
2000-12-11,11.34375,11.375,9.9375,10.59375,5.966445446014404,2919200
2000-12-12,10.609375,10.625,9.6875,9.9375,5.596843242645264,1077400
2000-12-13,10.375,10.4375,9.875,9.9375,5.596843242645264,422400
2000-12-14,9.9921875,10.125,9.9375,10.0625,5.667242050170898,265400
2000-12-15,10.125,10.125,9.0,10.0625,5.667242050170898,950200
2000-12-18,10.25,10.25,9.71875,10.03125,5.649642467498779,483600
2000-12-19,10.0234375,10.03125,9.625,9.8125,5.52644157409668,457400
2000-12-20,9.6875,9.8125,9.0,9.125,5.139239311218262,1228800
2000-12-21,9.03125,9.25,8.875,9.09375,5.12163782119751,1017400
2000-12-22,9.3125,9.6875,9.25,9.625,5.420840740203857,416000
2000-12-26,9.65625,9.6875,9.4375,9.5,5.350440502166748,754000
2000-12-27,9.453125,9.5625,9.125,9.28125,5.227240562438965,361400
2000-12-28,9.3125,9.6875,9.15625,9.3125,5.244839191436768,1048600
2000-12-29,9.5,10.0625,9.375,9.875,5.561641216278076,232800
2001-01-02,10.0859375,10.125,9.34375,9.625,5.420840740203857,330400
2001-01-03,9.390625,9.6875,8.75,8.8125,4.963237285614014,545400
2001-01-04,8.96875,9.5,8.8125,9.03125,5.086437225341797,287600
2001-01-05,9.0546875,9.25,8.875,9.0625,5.104038715362549,962000
2001-01-08,9.0,9.09375,8.75,8.75,4.928034782409668,631000
2001-01-09,8.953125,9.0,8.5,8.625,4.857637882232666,821800
2001-01-10,8.59375,8.625,8.375,8.5,4.787234306335449,976800
2001-01-11,8.515625,9.25,8.5,9.09375,5.12163782119751,1357000
2001-01-12,9.296875,9.625,9.25,9.5625,5.385641098022461,566200
2001-01-16,9.8125,10.25,9.4375,9.5,5.350440502166748,663200
2001-01-17,9.5546875,9.9375,9.4375,9.6875,5.45604133605957,486000
2001-01-18,9.7421875,9.75,9.25,9.5,5.350440502166748,292800
2001-01-19,9.53125,9.625,9.125,9.1875,5.174437999725342,254200
