Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,6.40625,6.5625,6.28125,6.46875,6.232614517211914,387600
1996-01-03,6.46875,6.5625,6.4375,6.4375,6.202506065368652,324400
1996-01-04,6.4375,6.4375,6.25,6.34375,6.112177848815918,218400
1996-01-05,6.40625,6.5625,6.3125,6.46875,6.232614517211914,301600
1996-01-08,6.46875,6.46875,6.375,6.4375,6.202506065368652,30400
1996-01-09,6.46875,6.53125,6.40625,6.40625,6.172395706176758,336800
1996-01-10,6.375,6.40625,6.28125,6.3125,6.082068920135498,237600
1996-01-11,6.3125,6.375,6.28125,6.375,6.142287254333496,246400
1996-01-12,6.375,6.375,6.25,6.28125,6.05195951461792,44000
1996-01-15,6.3125,6.375,6.25,6.28125,6.05195951461792,59200
1996-01-16,6.5,6.5625,6.3125,6.3125,6.082068920135498,658400
1996-01-17,6.3125,6.34375,6.28125,6.34375,6.112177848815918,567200
1996-01-18,6.34375,6.34375,6.25,6.28125,6.05195951461792,332000
1996-01-19,6.28125,6.28125,6.1875,6.28125,6.05195951461792,104800
1996-01-22,6.34375,6.34375,6.25,6.34375,6.112177848815918,456800
1996-01-23,6.34375,6.34375,6.25,6.3125,6.082068920135498,123200
1996-01-24,6.3125,6.46875,6.3125,6.4375,6.202506065368652,507200
1996-01-25,6.40625,6.5,6.375,6.5,6.262723922729492,219200
1996-01-26,6.5,6.5,6.4375,6.5,6.262723922729492,122400
1996-01-29,6.4375,6.4375,6.375,6.4375,6.202506065368652,284800
1996-01-30,6.5,6.6875,6.46875,6.6875,6.443378925323486,984800
1996-01-31,6.6875,6.8125,6.625,6.8125,6.563816070556641,291600
1996-02-01,6.78125,6.96875,6.78125,6.9375,6.684253215789795,444800
1996-02-02,6.90625,7.0,6.875,6.9375,6.684253215789795,438000
1996-02-05,6.875,6.875,6.5625,6.75,6.503598690032959,210000
1996-02-06,6.71875,6.8125,6.625,6.6875,6.443378925323486,464800
1996-02-07,6.6875,6.75,6.625,6.71875,6.4734883308410645,285200
1996-02-08,6.71875,6.875,6.71875,6.875,6.624034881591797,284800
1996-02-09,6.90625,7.03125,6.84375,6.875,6.624034881591797,244400
1996-02-12,6.875,7.0,6.8125,7.0,6.744472026824951,195600
1996-02-13,7.03125,7.15625,7.03125,7.09375,6.834799289703369,437600
1996-02-14,7.125,7.125,7.0,7.09375,6.834799289703369,528800
1996-02-15,7.09375,7.21875,7.0,7.09375,6.834799289703369,236800
1996-02-16,7.0625,7.125,7.0,7.03125,6.774581432342529,216400
1996-02-20,6.90625,7.0,6.875,7.0,6.744472026824951,172400
1996-02-21,6.9375,7.03125,6.90625,7.0,6.744472026824951,134800
1996-02-22,7.0,7.1875,7.0,7.1875,6.925126552581787,212800
1996-02-23,7.09375,7.25,7.03125,7.25,6.985345363616943,173200
1996-02-26,7.25,7.3125,7.21875,7.3125,7.0455641746521,252000
1996-02-27,7.28125,7.34375,7.1875,7.25,6.985345363616943,246400
1996-02-28,7.21875,7.28125,7.15625,7.1875,6.925126552581787,184000
1996-02-29,7.21875,7.21875,7.03125,7.125,6.8649091720581055,126800
1996-03-01,7.125,7.15625,7.09375,7.125,6.8649091720581055,225600
1996-03-04,7.125,7.21875,7.0,7.1875,6.925126552581787,286400
1996-03-05,7.125,7.1875,7.0625,7.15625,6.895018100738525,137200
1996-03-06,7.15625,7.15625,7.09375,7.15625,6.895018100738525,107200
1996-03-07,7.15625,7.15625,7.0625,7.09375,6.834799289703369,73600
1996-03-08,6.90625,7.0625,6.84375,6.90625,6.654144287109375,258800
1996-03-11,6.75,6.78125,6.71875,6.78125,6.5337066650390625,348400
1996-03-12,6.8125,6.875,6.78125,6.8125,6.563816070556641,117600
1996-03-13,6.8125,6.9375,6.78125,6.875,6.624034881591797,352400
1996-03-14,6.84375,6.96875,6.84375,6.9375,6.684253215789795,116800
1996-03-15,6.9375,7.09375,6.9375,7.09375,6.834799289703369,163200
1996-03-18,7.09375,7.09375,6.90625,7.0625,6.804690361022949,84400
1996-03-19,7.03125,7.0625,6.9375,7.03125,6.774581432342529,121600
1996-03-20,7.03125,7.0625,6.90625,7.0625,6.804690361022949,70000
1996-03-21,7.09375,7.1875,6.90625,6.9375,6.684253215789795,70800
1996-03-22,6.8125,6.875,6.8125,6.875,6.624034881591797,202000
1996-03-25,6.875,6.875,6.78125,6.8125,6.563816070556641,175200
1996-03-26,6.8125,7.0,6.78125,7.0,6.744472026824951,318800
1996-03-27,6.96875,7.0,6.9375,7.0,6.744472026824951,348800
1996-03-28,7.0,7.03125,6.875,6.90625,6.654144287109375,142800
1996-03-29,6.96875,7.09375,6.9375,7.0625,6.804690361022949,180800
1996-04-01,7.0625,7.09375,6.9375,6.96875,6.714363098144531,119200
