Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,4.671875,4.703125,4.609375,4.6875,3.178173542022705,1972000
1996-01-03,4.6875,4.796875,4.65625,4.734375,3.2099525928497314,3824000
1996-01-04,4.75,4.75,4.5625,4.640625,3.1463892459869385,2277600
1996-01-05,4.609375,4.6875,4.484375,4.65625,3.1569831371307373,1965600
1996-01-08,4.640625,4.671875,4.59375,4.609375,3.1252012252807617,268000
1996-01-09,4.59375,4.640625,4.546875,4.5625,3.0934200286865234,2265600
1996-01-10,4.53125,4.640625,4.5,4.5,3.0510449409484863,2372800
1996-01-11,4.484375,4.5,4.34375,4.375,2.966294050216675,2252800
1996-01-12,4.375,4.453125,4.359375,4.4375,3.0086686611175537,1073600
1996-01-15,4.453125,4.578125,4.421875,4.546875,3.0828263759613037,2038400
1996-01-16,4.578125,4.578125,4.5,4.5,3.0510449409484863,1793600
1996-01-17,4.5,4.5625,4.484375,4.484375,3.0404505729675293,1425600
1996-01-18,4.5,4.515625,4.40625,4.4375,3.0086686611175537,1396800
1996-01-19,4.375,4.59375,4.375,4.53125,3.072233200073242,2323200
1996-01-22,4.53125,4.640625,4.53125,4.59375,3.114607572555542,2140800
1996-01-23,4.5625,4.625,4.5625,4.609375,3.1252012252807617,1475200
1996-01-24,4.625,4.6875,4.59375,4.625,3.1357967853546143,4641600
1996-01-25,4.640625,4.6875,4.1875,4.40625,2.987480878829956,14987200
1996-01-26,4.390625,4.484375,4.34375,4.34375,2.945106267929077,6670400
1996-01-29,4.34375,4.40625,4.28125,4.3125,2.9239187240600586,4269600
1996-01-30,4.3125,4.328125,4.265625,4.28125,2.9027302265167236,1660000
1996-01-31,4.265625,4.34375,4.25,4.34375,2.945106267929077,7744800
1996-02-01,4.34375,4.5,4.328125,4.484375,3.0404505729675293,2758400
1996-02-02,4.484375,4.5,4.375,4.375,2.966294050216675,2740800
1996-02-05,4.359375,4.4453125,4.34375,4.40625,2.987480878829956,1249600
1996-02-06,4.34375,4.5,4.328125,4.46875,3.0298564434051514,3610400
1996-02-07,4.4375,4.484375,4.375,4.484375,3.0404505729675293,4183200
1996-02-08,4.484375,4.484375,4.421875,4.453125,3.0192627906799316,1500800
1996-02-09,4.4375,4.5,4.421875,4.46875,3.0298564434051514,2093600
1996-02-12,4.484375,4.515625,4.453125,4.484375,3.0404505729675293,3902400
1996-02-13,4.5,4.609375,4.5,4.5625,3.0934200286865234,3609600
1996-02-14,4.609375,4.640625,4.578125,4.578125,3.104013442993164,2953600
