Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,22.5,22.9375,22.3125,22.75,13.121625900268555,2425400
1996-01-03,22.875,22.9375,22.5,22.75,13.121625900268555,2582000
1996-01-04,22.8125,23.25,22.3125,22.875,13.193713188171387,3378400
1996-01-05,22.75,22.75,22.25,22.5,12.977423667907715,2845200
1996-01-08,22.4375,22.5625,22.375,22.5625,13.01347541809082,741800
1996-01-09,22.625,22.6875,21.9375,22.1875,12.797179222106934,3084200
1996-01-10,21.875,22.25,21.75,21.8125,12.580889701843262,2898400
1996-01-11,22.0,22.0625,21.8125,22.0625,12.72508430480957,2169600
1996-01-12,22.125,22.25,21.25,22.25,12.833229064941406,3747600
1996-01-15,22.1875,22.375,22.0,22.0625,12.72508430480957,1754400
1996-01-16,22.1875,22.375,21.9375,22.3125,12.869277954101562,1967200
1996-01-17,22.6875,23.375,22.625,23.1875,13.373957633972168,5236400
1996-01-18,23.4375,24.8125,23.375,24.6875,14.239121437072754,7378000
1996-01-19,24.25,24.5,23.875,24.25,13.986775398254395,6947200
1996-01-22,24.375,24.375,23.8125,24.0625,13.878636360168457,4223200
1996-01-23,24.0,24.4375,23.9375,24.3125,14.022832870483398,3637600
1996-01-24,24.3125,24.4375,24.125,24.3125,14.022832870483398,2802200
1996-01-25,24.25,24.8125,24.0,24.5,14.13097095489502,5043800
1996-01-26,24.4375,25.3125,24.3125,25.125,14.491456985473633,4488800
1996-01-29,25.0,25.25,24.9375,25.1875,14.527499198913574,2926600
1996-01-30,25.3125,25.5,25.0,25.125,14.491456985473633,3131000
1996-01-31,25.1875,25.1875,24.8125,25.125,14.491456985473633,4044400
1996-02-01,25.0625,25.125,24.8125,25.0,14.41935920715332,3526600
1996-02-02,25.0625,25.375,24.875,25.0,14.41935920715332,3464800
1996-02-05,24.875,25.5,24.875,25.25,14.563558578491211,2974400
1996-02-06,25.4375,25.8125,25.25,25.8125,14.887986183166504,4768600
1996-02-07,26.125,26.6875,26.0625,26.625,15.356613159179688,4948600
1996-02-08,26.4375,26.8125,26.375,26.75,15.42871379852295,5075200
1996-02-09,26.6875,26.6875,26.25,26.375,15.212423324584961,5330800
1996-02-12,26.4375,27.125,26.4375,27.0625,15.608959197998047,4426600
1996-02-13,26.5,26.5625,26.0,26.3125,15.17637825012207,7778800
1996-02-14,26.0625,26.125,25.125,25.25,14.563558578491211,7250800
1996-02-15,25.4375,26.0,25.3125,25.5,14.707742691040039,6848800
1996-02-16,25.625,25.6875,25.0,25.125,14.491456985473633,6731000
1996-02-20,24.875,25.3125,24.5,24.875,14.347260475158691,3946600
1996-02-21,24.9375,25.875,24.9375,25.8125,14.887986183166504,3978200
1996-02-22,26.125,26.4375,26.0625,26.375,15.212423324584961,4534800
1996-02-23,26.4375,26.5625,25.8125,26.0,14.996138572692871,4751600
1996-02-26,25.5,25.5625,25.0625,25.375,14.63565731048584,4350000
1996-02-27,25.25,25.375,24.75,25.25,14.58309555053711,2899800
1996-02-28,25.625,25.6875,24.75,24.8125,14.330419540405273,4390000
1996-02-29,24.75,25.375,24.75,25.0,14.438706398010254,4332000
1996-03-01,25.25,25.375,25.0625,25.1875,14.546996116638184,2801400
1996-03-04,25.5,25.75,25.4375,25.6875,14.835771560668945,2383800
1996-03-05,25.8125,26.5,25.625,26.375,15.232844352722168,3377000
1996-03-06,26.5625,26.875,26.0,26.1875,15.124543190002441,4054800
1996-03-07,26.25,26.375,26.0,26.3125,15.196733474731445,2161000
1996-03-08,25.625,26.0,25.0,25.4375,14.691394805908203,6115800
1996-03-11,25.25,25.625,25.0,25.25,14.58309555053711,4354800
1996-03-12,25.25,25.5,24.9375,25.3125,14.61918830871582,2948600
1996-03-13,25.3125,25.4375,25.125,25.1875,14.546996116638184,2308600
1996-03-14,25.3125,25.4375,25.125,25.3125,14.61918830871582,2257400
1996-03-15,25.4375,25.6875,25.25,25.625,14.799675941467285,4468200
1996-03-18,26.0,26.125,25.8125,26.0625,15.052350044250488,2701600
1996-03-19,26.0625,26.25,25.0,25.1875,14.546996116638184,4226200
1996-03-20,25.375,25.625,25.25,25.4375,14.691394805908203,2954400
1996-03-21,25.5,25.5625,25.0625,25.0625,14.474807739257812,2311200
1996-03-22,25.125,25.5,25.125,25.375,14.655289649963379,4023600
1996-03-25,25.375,25.4375,24.6875,25.125,14.510902404785156,7774000
1996-03-26,24.625,24.9375,24.375,24.875,14.36651611328125,5425800
1996-03-27,24.6875,25.125,24.5625,24.6875,14.258224487304688,3897400
1996-03-28,24.625,24.75,24.1875,24.625,14.222123146057129,4281200
1996-03-29,24.5,24.5625,23.625,24.0,13.861156463623047,9804000
1996-04-01,24.375,24.8125,24.1875,24.625,14.222123146057129,6016200
1996-04-02,24.5625,24.875,24.5,24.6875,14.258224487304688,4612800
1996-04-03,24.5625,24.875,24.1875,24.375,14.077740669250488,3080200
1996-04-04,24.5,24.6875,24.25,24.375,14.077740669250488,2778400
1996-04-08,23.75,23.9375,23.6875,23.9375,13.825063705444336,5117600
1996-04-09,24.0625,24.125,23.4375,23.625,13.644582748413086,6185400
1996-04-10,23.75,24.0625,23.5,23.625,13.644582748413086,6285600
1996-04-11,23.75,23.75,22.9375,23.25,13.427995681762695,6148600
1996-04-12,23.4375,24.1875,23.125,24.1875,13.96944808959961,4536800
1996-04-15,24.1875,24.4375,24.1875,24.25,14.005544662475586,3303200
1996-04-16,24.25,24.4375,24.1875,24.3125,14.041641235351562,2857800
1996-04-17,24.0625,24.0625,23.3125,23.5,13.57238483428955,6489800
