Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,5.71875,5.71875,5.6875,5.6875,5.345512866973877,528400
1996-01-03,5.75,5.875,5.71875,5.875,5.521737575531006,1468800
1996-01-04,6.0,6.4375,6.0,6.375,5.991673946380615,5778400
1996-01-05,6.34375,6.96875,6.34375,6.96875,6.549721717834473,1827200
1996-01-08,7.4375,7.4375,7.1875,7.21875,6.784689903259277,1101200
1996-01-09,7.1875,7.21875,7.0,7.0625,6.637835502624512,910400
1996-01-10,7.0,7.0,6.6875,6.78125,6.373496055603027,867600
1996-01-11,6.84375,7.15625,6.8125,7.15625,6.725946426391602,849600
1996-01-12,7.1875,7.21875,6.875,7.0625,6.637835502624512,1088000
1996-01-15,7.0625,7.09375,6.9375,7.0,6.579092979431152,209600
1996-01-16,7.0625,7.0625,6.84375,6.90625,6.490979194641113,149600
1996-01-17,6.90625,6.96875,6.875,6.9375,6.520350456237793,216000
1996-01-18,6.875,7.0,6.84375,6.96875,6.549721717834473,544800
1996-01-19,6.96875,6.96875,6.84375,6.84375,6.4322381019592285,96800
1996-01-22,6.90625,6.90625,6.59375,6.71875,6.314754486083984,450400
1996-01-23,6.71875,7.09375,6.6875,7.09375,6.667205333709717,1037600
1996-01-24,7.125,7.3125,7.09375,7.21875,6.784689903259277,832000
1996-01-25,7.25,7.34375,7.09375,7.3125,6.872802734375,400400
1996-01-26,7.25,7.4375,7.1875,7.4375,6.990286350250244,377200
1996-01-29,7.375,7.4375,7.1875,7.25,6.814060211181641,224000
1996-01-30,7.25,7.28125,7.21875,7.28125,6.843430519104004,636800
1996-01-31,7.28125,7.4375,7.25,7.375,6.931544303894043,465600
1996-02-01,7.46875,7.65625,7.15625,7.1875,6.755319595336914,1167600
1996-02-02,7.34375,7.46875,7.25,7.34375,6.902172565460205,702800
1996-02-05,7.3125,7.96875,7.3125,7.96875,7.489592552185059,1580800
1996-02-06,7.8125,8.25,7.5625,8.125,7.636447906494141,2387200
1996-02-07,8.0625,8.15625,8.0,8.03125,7.54833459854126,728000
1996-02-08,8.0,8.1875,7.875,8.0625,7.577705383300781,960400
1996-02-09,8.0,8.21875,7.9375,8.0,7.518962860107422,672800
1996-02-12,7.9375,8.09375,7.84375,8.0625,7.577705383300781,492800
1996-02-13,8.03125,8.03125,7.84375,7.96875,7.489592552185059,371600
1996-02-14,7.9375,8.0625,7.9375,8.0,7.518962860107422,363200
1996-02-15,7.9375,8.0625,7.9375,8.0,7.518962860107422,696400
1996-02-16,8.0,8.09375,7.9375,7.96875,7.489592552185059,354400
1996-02-20,7.875,7.90625,7.59375,7.75,7.283996105194092,826800
1996-02-21,7.75,8.03125,7.6875,8.03125,7.54833459854126,348800
1996-02-22,8.03125,8.15625,8.0,8.125,7.636447906494141,393600
1996-02-23,8.09375,8.125,7.96875,8.03125,7.54833459854126,535200
1996-02-26,7.96875,8.125,7.875,8.09375,7.607077121734619,336800
1996-02-27,8.09375,8.25,8.0625,8.1875,7.695189476013184,424400
1996-02-28,8.21875,8.21875,7.96875,8.0,7.518962860107422,242000
1996-02-29,7.96875,8.40625,7.9375,8.3125,7.8126726150512695,803600
1996-03-01,8.46875,8.65625,8.40625,8.5625,8.047640800476074,1019600
1996-03-04,8.5625,9.09375,8.5625,9.09375,8.54694652557373,1806000
1996-03-05,9.125,9.5,9.125,9.28125,8.72317123413086,2637200
1996-03-06,9.28125,9.4375,9.09375,9.40625,8.840655326843262,924400
1996-03-07,9.5,9.59375,9.34375,9.53125,8.958141326904297,812400
1996-03-08,9.5,9.5625,9.21875,9.40625,8.840655326843262,1128000
1996-03-11,9.28125,9.4375,9.25,9.375,8.811283111572266,659600
1996-03-12,9.3125,9.375,9.25,9.28125,8.72317123413086,183600
1996-03-13,9.40625,9.40625,9.28125,9.28125,8.72317123413086,214000
