Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,6.0,6.125,6.0,6.0625,3.5555338859558105,824400
1996-01-03,6.03125,6.09375,6.0,6.03125,3.5372061729431152,338000
1996-01-04,6.09375,6.09375,6.0,6.03125,3.5372061729431152,803600
1996-01-05,6.0625,6.0625,5.9375,6.0,3.518881320953369,356000
1996-01-08,5.9375,6.0,5.9375,5.9375,3.482224225997925,81200
1996-01-09,5.9375,5.96875,5.84375,5.84375,3.42724347114563,819200
1996-01-10,5.8125,5.84375,5.6875,5.75,3.3722589015960693,483200
1996-01-11,5.6875,5.75,5.375,5.4375,3.1889843940734863,1668000
1996-01-12,5.4375,5.4375,5.375,5.4375,3.1889843940734863,2679200
1996-01-15,5.25,5.375,5.09375,5.3125,3.1156749725341797,2165600
1996-01-16,5.34375,5.5,5.3125,5.46875,3.2073097229003906,2388800
1996-01-17,5.5,5.53125,5.4375,5.5,3.2256381511688232,1457600
1996-01-18,5.4375,5.5,5.40625,5.4375,3.1889843940734863,2753600
1996-01-19,5.375,5.5,5.375,5.5,3.2256381511688232,2572800
1996-01-22,5.4375,5.5,5.4375,5.5,3.2256381511688232,1408000
1996-01-23,5.4375,5.71875,5.4375,5.625,3.2989490032196045,2756800
1996-01-24,5.625,5.71875,5.625,5.65625,3.317277193069458,1042800
1996-01-25,5.625,5.625,5.5625,5.5625,3.262293577194214,1094000
1996-01-26,5.5625,5.65625,5.5,5.65625,3.317277193069458,1276000
1996-01-29,5.59375,5.65625,5.59375,5.59375,3.280623197555542,1179200
1996-01-30,5.59375,5.6875,5.59375,5.65625,3.317277193069458,718000
1996-01-31,5.6875,5.75,5.65625,5.71875,3.3539316654205322,826800
1996-02-01,5.71875,5.71875,5.59375,5.65625,3.317277193069458,2399200
1996-02-02,5.625,5.625,5.4375,5.4375,3.1889843940734863,1835200
1996-02-05,5.5,5.625,5.4375,5.625,3.2989490032196045,1175200
1996-02-06,5.65625,5.6875,5.59375,5.625,3.2989490032196045,1882800
1996-02-07,5.6875,5.6875,5.625,5.625,3.2989490032196045,2562400
1996-02-08,5.625,5.71875,5.625,5.71875,3.3539316654205322,269200
1996-02-09,5.6640625,5.71875,5.65625,5.65625,3.317277193069458,748800
1996-02-12,5.625,5.65625,5.625,5.625,3.2989490032196045,946400
1996-02-13,5.625,5.75,5.625,5.6875,3.3356053829193115,1186800
1996-02-14,5.75,5.78125,5.6875,5.765625,3.3814239501953125,1633600
1996-02-15,5.71875,5.78125,5.71875,5.75,3.3722589015960693,733600
1996-02-16,5.71875,5.8125,5.71875,5.8125,3.4089157581329346,475200
1996-02-20,5.71875,5.78125,5.6875,5.78125,3.390587091445923,741600
1996-02-21,5.71875,5.78125,5.71875,5.78125,3.390587091445923,5385200
1996-02-22,5.75,5.9375,5.53125,5.625,3.2989490032196045,3963600
1996-02-23,5.59375,5.71875,5.59375,5.6875,3.3356053829193115,3107200
1996-02-26,5.6875,5.75,5.625,5.6875,3.3356053829193115,848800
1996-02-27,5.6875,5.71875,5.65625,5.65625,3.317277193069458,1127600
1996-02-28,5.65625,5.875,5.65625,5.875,3.4455690383911133,1094800
1996-02-29,5.78125,5.875,5.71875,5.71875,3.3539316654205322,2897200
1996-03-01,5.6875,5.75,5.59375,5.59375,3.280623197555542,2069600
1996-03-04,5.59375,5.6875,5.59375,5.625,3.2989490032196045,1281200
1996-03-05,5.625,5.6875,5.59375,5.65625,3.317277193069458,1234400
1996-03-06,5.59375,5.65625,5.59375,5.59375,3.280623197555542,582800
1996-03-07,5.59375,5.65625,5.5625,5.59375,3.280623197555542,741200
1996-03-08,5.53125,5.5625,5.46875,5.46875,3.2073097229003906,684800
1996-03-11,5.5,5.5625,5.5,5.5625,3.262293577194214,1056000
1996-03-12,5.5625,5.625,5.5,5.53125,3.243966579437256,671600
1996-03-13,5.53125,5.625,5.5,5.5625,3.262293577194214,872000
1996-03-14,5.5,5.5625,5.46875,5.46875,3.2073097229003906,838400
1996-03-15,5.5,5.59375,5.46875,5.59375,3.280623197555542,2052400
1996-03-18,5.53125,5.625,5.46875,5.625,3.2989490032196045,1926000
1996-03-19,5.5625,5.625,5.5625,5.59375,3.280623197555542,1283200
1996-03-20,5.59375,5.65625,5.59375,5.59375,3.280623197555542,480000
1996-03-21,5.65625,5.8125,5.59375,5.75,3.3722589015960693,2336800
1996-03-22,5.78125,5.84375,5.75,5.78125,3.390587091445923,1349600
1996-03-25,5.75,5.78125,5.71875,5.71875,3.3539316654205322,686800
1996-03-26,5.78125,5.78125,5.59375,5.65625,3.317277193069458,1371200
1996-03-27,5.625,5.6875,5.625,5.6875,3.3356053829193115,536400
1996-03-28,5.625,5.6875,5.625,5.625,3.319376230239868,432800
1996-03-29,5.625,5.6875,5.5,5.5,3.2456130981445312,2709600
1996-04-01,5.5,5.59375,5.5,5.5,3.2456130981445312,1473600
1996-04-02,5.5,5.59375,5.5,5.59375,3.300935745239258,1579200
1996-04-03,5.53125,5.625,5.53125,5.625,3.319376230239868,1588000
1996-04-04,5.59375,5.71875,5.59375,5.65625,3.3378183841705322,2680800
1996-04-08,5.625,5.75,5.625,5.65625,3.3378183841705322,672400
1996-04-09,5.6875,5.71875,5.5625,5.65625,3.3378183841705322,1263600
1996-04-10,5.65625,5.71875,5.65625,5.65625,3.3378183841705322,553600
1996-04-11,5.71875,5.71875,5.625,5.625,3.319376230239868,1176000
1996-04-12,5.6875,5.6875,5.53125,5.59375,3.300935745239258,1490400
1996-04-15,5.53125,5.59375,5.53125,5.53125,3.264052152633667,356400
1996-04-16,5.5625,5.59375,5.5625,5.59375,3.300935745239258,818400
1996-04-17,5.5625,5.625,5.5625,5.5625,3.2824928760528564,808800
1996-04-18,5.5625,5.59375,5.53125,5.59375,3.300935745239258,674800
1996-04-19,5.53125,5.59375,5.53125,5.53125,3.264052152633667,276800
1996-04-22,5.59375,5.59375,5.53125,5.59375,3.300935745239258,702800
1996-04-23,5.5625,5.6875,5.5625,5.6875,3.3562586307525635,537600
1996-04-24,5.6328125,5.6875,5.53125,5.625,3.319376230239868,637200
1996-04-25,5.53125,5.59375,5.53125,5.59375,3.300935745239258,454800
1996-04-26,5.53125,5.625,5.53125,5.53125,3.264052152633667,2202400
1996-04-29,5.5625,5.59375,5.5,5.59375,3.300935745239258,1614000
1996-04-30,5.5625,5.65625,5.53125,5.5625,3.2824928760528564,428000
1996-05-01,5.5625,5.6875,5.53125,5.6875,3.3562586307525635,1054400
1996-05-02,5.625,5.71875,5.59375,5.6875,3.3562586307525635,1516800
1996-05-03,5.6875,5.71875,5.53125,5.625,3.319376230239868,474800
1996-05-06,5.53125,5.59375,5.5,5.5,3.2456130981445312,1197600
1996-05-07,5.5,5.5625,5.46875,5.46875,3.2271711826324463,1618000
1996-05-08,5.46875,5.59375,5.46875,5.578125,3.2917134761810303,536400
1996-05-09,5.53125,5.59375,5.53125,5.59375,3.300935745239258,244000
1996-05-10,5.59375,5.59375,5.46875,5.484375,3.236391544342041,2126000
1996-05-13,5.46875,5.53125,5.46875,5.53125,3.264052152633667,1594400
1996-05-14,5.5,5.53125,5.46875,5.53125,3.264052152633667,1970000
1996-05-15,5.5,5.53125,5.4375,5.46875,3.2271711826324463,4487200
1996-05-16,5.46875,5.53125,5.46875,5.53125,3.264052152633667,727600
1996-05-17,5.53125,5.53125,5.46875,5.46875,3.2271711826324463,240000
1996-05-20,5.5,5.515625,5.46875,5.46875,3.2271711826324463,754400
1996-05-21,5.46875,5.5,5.46875,5.46875,3.2271711826324463,1181200
1996-05-22,5.4375,5.5,5.4375,5.5,3.2456130981445312,1228000
1996-05-23,5.46875,5.5,5.46875,5.5,3.2456130981445312,719600
1996-05-24,5.46875,5.53125,5.46875,5.46875,3.2271711826324463,1444000
1996-05-28,5.5,5.53125,5.46875,5.46875,3.2271711826324463,1068000
1996-05-29,5.46875,5.53125,5.46875,5.46875,3.2271711826324463,1225200
1996-05-30,5.53125,5.75,5.46875,5.6875,3.3562586307525635,1760400
1996-05-31,5.6875,5.71875,5.625,5.6875,3.3562586307525635,530000
