Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,20.875,20.875,20.625,20.625,14.572430610656738,4700
1996-01-03,20.75,20.875,20.75,20.75,14.66074275970459,12100
1996-01-04,20.5,20.625,20.5,20.5,14.484107971191406,233300
1996-01-05,20.5,20.625,20.5,20.5,14.484107971191406,1000
1996-01-08,20.75,20.75,20.625,20.625,14.572430610656738,400
1996-01-09,20.625,21.0,20.625,20.875,14.749059677124023,10800
1996-01-10,20.75,20.875,20.75,20.875,14.749059677124023,4200
1996-01-11,20.75,21.0,20.75,21.0,14.837383270263672,8200
1996-01-12,21.0,21.25,21.0,21.25,15.014016151428223,1400
1996-01-15,21.25,21.375,21.125,21.375,15.102334976196289,12600
1996-01-16,21.375,21.375,21.125,21.125,14.92569351196289,2000
1996-01-17,21.25,21.375,21.0,21.125,14.92569351196289,10800
1996-01-18,20.875,20.875,20.5,20.5,14.484107971191406,25800
1996-01-19,20.625,20.75,20.375,20.375,14.395792007446289,40200
1996-01-22,20.25,20.5,20.125,20.5,14.484107971191406,108600
1996-01-23,20.375,21.0,20.25,21.0,14.837383270263672,11600
1996-01-24,21.0,21.0,20.875,21.0,14.837383270263672,21700
1996-01-25,20.875,21.0,20.875,21.0,14.837383270263672,27800
1996-01-26,21.0,21.0,20.875,20.875,14.749059677124023,1500
1996-01-29,21.0,21.0,20.25,20.625,14.572430610656738,15400
1996-01-30,20.75,21.125,20.75,21.125,14.92569351196289,16000
1996-01-31,21.25,21.25,21.0,21.125,14.92569351196289,1400
1996-02-01,21.0,21.75,21.0,21.75,15.367291450500488,12100
1996-02-02,21.5,22.125,21.5,22.0,15.54391860961914,10900
1996-02-05,22.0,22.375,22.0,22.0,15.54391860961914,11900
1996-02-06,22.0,22.125,22.0,22.125,15.632237434387207,1500
1996-02-07,22.0,22.25,22.0,22.125,15.632237434387207,1600
1996-02-08,22.125,22.75,22.125,22.75,16.073829650878906,19000
1996-02-09,22.875,22.875,22.75,22.75,16.073829650878906,11600
1996-02-12,22.75,22.75,22.5,22.75,16.073829650878906,24100
1996-02-13,22.625,22.625,22.375,22.375,15.808877944946289,3500
1996-02-14,22.375,22.625,22.375,22.5,15.897188186645508,2400
1996-02-15,22.75,23.0,22.625,23.0,16.250455856323242,25200
1996-02-16,23.0,23.25,23.0,23.25,16.427085876464844,15500
1996-02-20,23.0,23.0,22.875,23.0,16.250455856323242,4300
1996-02-21,22.875,23.0,22.875,23.0,16.250455856323242,300
1996-02-22,23.0,23.0,22.75,22.875,16.16214942932129,4400
1996-02-23,22.875,23.0,22.75,22.75,16.073829650878906,27300
1996-02-26,22.75,22.75,22.75,22.75,16.073829650878906,900
1996-02-27,22.625,22.75,22.625,22.75,16.073829650878906,2000
1996-02-28,22.625,22.625,22.625,22.625,16.06318473815918,8300
1996-02-29,22.5,22.625,22.5,22.5,15.974431991577148,10700
1996-03-01,22.5,22.625,22.375,22.375,15.88569164276123,22900
1996-03-04,22.375,22.75,22.375,22.75,16.15192985534668,86200
1996-03-05,22.75,22.75,22.625,22.625,16.06318473815918,25800
1996-03-06,22.5,22.625,22.5,22.625,16.06318473815918,245600
1996-03-07,22.5,22.5,22.5,22.5,15.974431991577148,1600
1996-03-08,22.25,22.375,21.75,21.875,15.5306978225708,15100
1996-03-11,21.75,21.875,21.75,21.875,15.5306978225708,4200
1996-03-12,21.75,21.75,21.75,21.75,15.441957473754883,200
1996-03-13,21.75,21.75,21.625,21.75,15.441957473754883,3600
1996-03-14,22.0,22.25,22.0,22.125,15.7081880569458,85900
1996-03-15,22.25,22.375,22.125,22.375,15.88569164276123,20000
1996-03-18,22.375,22.5,22.375,22.5,15.974431991577148,1400
1996-03-19,22.625,22.75,22.5,22.75,16.15192985534668,14500
1996-03-20,22.75,22.875,22.625,22.875,16.24067497253418,9600
1996-03-21,22.75,22.75,22.5,22.5,15.974431991577148,6300
1996-03-22,22.5,22.625,22.375,22.5,15.974431991577148,11100
1996-03-25,22.5,23.0,22.5,22.75,16.15192985534668,160300
1996-03-26,22.875,22.875,22.75,22.875,16.24067497253418,21500
1996-03-27,22.75,22.875,22.625,22.875,16.24067497253418,24100
1996-03-28,22.75,23.0,22.75,23.0,16.32941436767578,152500
1996-03-29,22.875,23.0,22.75,22.75,16.15192985534668,4000
1996-04-01,22.75,22.875,22.625,22.75,16.15192985534668,23100
1996-04-02,22.625,22.625,22.5,22.5,15.974431991577148,47000
1996-04-03,22.5,22.625,22.5,22.5,15.974431991577148,2800
1996-04-04,22.5,22.75,22.5,22.75,16.15192985534668,4400
1996-04-08,22.625,22.625,22.625,22.625,16.06318473815918,200
1996-04-09,22.75,23.0,22.5,22.5,15.974431991577148,14900
1996-04-10,22.5,22.5,22.5,22.5,15.974431991577148,16300
1996-04-11,22.375,22.375,21.875,21.875,15.5306978225708,158700
1996-04-12,21.875,22.0,21.875,22.0,15.619441032409668,2100
1996-04-15,21.75,22.0,21.5,22.0,15.619441032409668,18400
1996-04-16,21.875,21.875,21.5,21.5,15.264453887939453,21500
1996-04-17,21.625,21.625,21.5,21.625,15.353206634521484,900
1996-04-18,21.5,21.5,21.5,21.5,15.264453887939453,200
1996-04-19,21.625,21.75,21.5,21.75,15.441957473754883,35300
1996-04-22,21.75,22.25,21.75,22.25,15.796930313110352,47000
1996-04-23,22.0,22.125,21.875,21.875,15.5306978225708,5300
1996-04-24,22.0,22.125,21.875,22.0,15.619441032409668,6500
1996-04-25,22.0,22.0,22.0,22.0,15.619441032409668,2000
1996-04-26,22.0,22.375,22.0,22.25,15.796930313110352,5800
1996-04-29,22.125,22.25,22.125,22.25,15.796930313110352,18700
1996-04-30,22.5,22.875,22.5,22.875,16.24067497253418,10500
1996-05-01,22.875,23.125,22.875,23.125,16.418161392211914,10800
1996-05-02,23.0,23.125,23.0,23.0,16.32941436767578,13900
1996-05-03,23.0,23.125,22.875,23.125,16.418161392211914,5700
1996-05-06,23.0,23.5,23.0,23.5,16.684398651123047,20900
1996-05-07,23.375,23.75,23.375,23.625,16.773155212402344,9800
1996-05-08,23.625,24.0,23.625,23.875,16.950639724731445,11500
1996-05-09,24.0,24.25,24.0,24.125,17.128145217895508,2900
1996-05-10,24.25,24.5,24.25,24.375,17.305635452270508,23200
1996-05-13,24.625,24.875,24.5,24.625,17.48313331604004,8700
1996-05-14,24.5,24.5,24.375,24.375,17.305635452270508,3200
1996-05-15,24.375,24.375,24.25,24.25,17.216886520385742,27100
1996-05-16,24.375,24.375,24.125,24.125,17.128145217895508,14100
1996-05-17,24.0,24.125,24.0,24.0,17.039382934570312,2200
1996-05-20,24.0,24.25,24.0,24.125,17.128145217895508,3400
1996-05-21,24.125,24.25,24.125,24.125,17.128145217895508,1600
1996-05-22,24.0,24.25,24.0,24.125,17.128145217895508,4800
1996-05-23,24.125,24.25,24.125,24.125,17.128145217895508,500
1996-05-24,24.375,24.5,24.375,24.5,17.394376754760742,5500
1996-05-28,24.375,24.5,24.25,24.375,17.305635452270508,7300
1996-05-29,24.125,24.25,23.875,24.25,17.294933319091797,12500
1996-05-30,24.125,24.125,24.0,24.125,17.205785751342773,6100
1996-05-31,24.0,24.125,24.0,24.125,17.205785751342773,3300
1996-06-03,24.0,24.125,24.0,24.0,17.116636276245117,67200
1996-06-04,24.0,24.25,24.0,24.125,17.205785751342773,2300
1996-06-05,24.0,24.375,23.875,24.125,17.205785751342773,108600
1996-06-06,24.0,24.0,24.0,24.0,17.116636276245117,8800
