Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,40.875,41.875,40.625,41.875,31.164278030395508,270300.0
1996-01-03,41.875,42.5,41.5,41.625,30.978229522705078,715100.0
1996-01-04,41.75,41.875,40.25,40.625,30.234004974365234,622600.0
1996-01-05,39.875,40.125,39.75,40.125,29.86189079284668,495800.0
1996-01-08,40.25,40.875,40.125,40.375,30.047935485839844,125600.0
1996-01-09,40.375,40.375,39.375,39.625,29.48978042602539,320400.0
1996-01-10,39.625,39.625,37.5,37.625,28.001325607299805,744100.0
1996-01-11,38.0,39.0,38.0,38.75,28.838584899902344,950000.0
1996-01-12,38.875,39.375,38.875,39.375,29.303714752197266,365800.0
1996-01-15,39.125,39.875,39.125,39.625,29.48978042602539,401400.0
1996-01-16,40.375,40.375,39.25,39.25,29.210702896118164,428200.0
1996-01-17,39.0,39.0,38.125,38.125,28.37344741821289,603000.0
1996-01-18,34.25,35.0,33.625,34.75,25.86168670654297,3102000.0
1996-01-19,35.875,35.875,35.0,35.625,26.512887954711914,1406800.0
1996-01-22,35.75,35.875,35.375,35.625,26.512887954711914,170200.0
1996-01-23,35.75,36.0,35.4375,35.75,26.605920791625977,571400.0
1996-01-24,35.75,36.5,35.75,36.5,27.16408920288086,737800.0
1996-01-25,36.0,36.25,35.875,36.125,26.885005950927734,673500.0
1996-01-26,36.0,36.875,35.875,36.75,27.35013198852539,705500.0
1996-01-29,36.75,38.0,36.75,37.25,27.722246170043945,859500.0
1996-01-30,37.25,37.25,36.625,37.125,27.62922477722168,416000.0
1996-01-31,38.75,38.75,37.375,37.625,28.001325607299805,1441100.0
1996-02-01,37.625,38.625,37.625,38.125,28.37344741821289,983600.0
1996-02-02,38.25,38.5,38.0,38.375,28.559492111206055,670000.0
1996-02-05,38.125,38.25,38.0,38.125,28.37344741821289,507100.0
1996-02-06,38.125,38.125,37.875,38.125,28.37344741821289,1016600.0
1996-02-07,38.125,38.125,38.0,38.125,28.37344741821289,427900.0
1996-02-08,38.125,38.25,38.0,38.125,28.37344741821289,535900.0
1996-02-09,38.25,38.25,38.0,38.125,28.37344741821289,393300.0
1996-02-12,38.0,38.0,37.875,38.0,28.28041648864746,278900.0
1996-02-13,38.0,38.375,37.875,38.25,28.46647071838379,919500.0
1996-02-14,38.375,39.125,38.375,39.125,29.11768341064453,1184900.0
1996-02-15,39.625,40.25,39.375,39.75,29.582788467407227,845000.0
1996-02-16,39.75,40.25,39.625,40.125,29.86189079284668,612400.0
1996-02-20,39.875,40.0,39.5,39.625,29.48978042602539,553500.0
1996-02-21,39.75,40.375,39.75,40.0,29.768863677978516,899000.0
1996-02-22,39.875,40.0,39.0,39.5,29.396745681762695,981000.0
1996-02-23,39.625,39.625,39.125,39.5,29.396745681762695,823700.0
1996-02-26,39.5,39.5,39.125,39.125,29.11768341064453,528700.0
1996-02-27,39.25,40.0,39.25,39.75,29.582788467407227,744800.0
1996-02-28,40.375,41.625,40.25,41.25,30.699134826660156,908100.0
1996-02-29,41.125,41.75,40.75,41.25,30.699134826660156,905200.0
1996-03-01,41.125,42.625,41.125,41.875,31.164278030395508,775200.0
1996-03-04,42.0,43.25,42.0,43.125,32.09454345703125,637200.0
1996-03-05,43.125,43.125,42.5,42.75,31.815460205078125,612100.0
1996-03-06,42.75,42.875,41.5,41.625,30.978229522705078,1179500.0
1996-03-07,41.625,42.0,41.375,41.5,30.88518524169922,799100.0
1996-03-08,40.5,41.125,38.875,39.625,29.48978042602539,669600.0
1996-03-11,39.0,39.5,38.75,39.0,29.02463722229004,824500.0
1996-03-12,39.0,39.625,38.5,39.25,29.210702896118164,637900.0
1996-03-13,39.25,41.125,39.25,40.875,30.482179641723633,351700.0
1996-03-14,40.625,41.125,37.5,39.25,29.270357131958008,1883300.0
1996-03-15,38.875,38.875,37.125,37.25,27.778871536254883,2585300.0
1996-03-18,37.25,37.5,36.5,37.5,27.965314865112305,1121800.0
1996-03-19,39.25,39.25,38.25,38.5,28.711036682128906,474700.0
1996-03-20,38.5,39.25,38.5,39.0,29.083904266357422,544000.0
1996-03-21,38.75,39.75,38.75,39.5,29.456787109375,265400.0
1996-03-22,39.5,39.625,38.5,38.5,28.711036682128906,445200.0
1996-03-25,38.875,38.875,36.5,37.0,27.592424392700195,1047600.0
1996-03-26,37.0,37.5,36.25,37.5,27.965314865112305,753400.0
1996-03-27,37.25,37.375,36.5,36.875,27.49921989440918,719700.0
1996-03-28,37.0,37.0,36.375,36.375,27.126344680786133,302200.0
1996-03-29,36.5,36.875,36.375,36.5,27.219566345214844,446700.0
1996-04-01,35.0,35.0,32.25,32.875,24.516250610351562,2747400.0
1996-04-02,33.375,34.5,33.25,34.375,25.634859085083008,2108000.0
1996-04-03,34.5,35.0,33.875,35.0,26.1009578704834,600700.0
1996-04-04,35.0,36.5,34.875,36.5,27.219566345214844,742800.0
1996-04-08,35.875,36.5,35.5,36.5,27.219566345214844,527600.0
1996-04-09,36.5,37.625,36.5,37.125,27.6856632232666,961700.0
1996-04-10,37.5,38.0,37.375,37.625,28.05853271484375,539900.0
1996-04-11,37.875,38.25,37.375,37.5,27.965314865112305,342900.0
1996-04-12,38.375,38.5,37.5,38.25,28.524612426757812,942300.0
1996-04-15,38.5,38.75,37.375,37.625,28.05853271484375,564300.0
1996-04-16,38.0,38.0,37.375,37.75,28.151742935180664,318200.0
1996-04-17,37.75,38.125,37.75,37.875,28.244958877563477,389800.0
1996-04-18,37.875,37.875,37.25,37.25,27.778871536254883,297800.0
1996-04-19,33.25,35.875,33.125,35.125,26.19417381286621,3265600.0
1996-04-22,35.875,36.25,35.5,35.875,26.75348472595215,820500.0
1996-04-23,35.875,36.125,35.75,35.75,26.660247802734375,546300.0
1996-04-24,35.75,36.375,35.625,35.875,26.75348472595215,941200.0
1996-04-25,35.875,36.0,35.75,35.75,26.660247802734375,254100.0
1996-04-26,35.75,36.375,35.75,35.875,26.75348472595215,531500.0
1996-04-29,35.875,36.625,35.875,36.375,27.126344680786133,485800.0
1996-04-30,36.5,37.125,36.5,36.875,27.49921989440918,699200.0
1996-05-01,37.0,37.125,36.875,36.875,27.49921989440918,639100.0
1996-05-02,36.875,37.125,36.75,36.875,27.49921989440918,370600.0
1996-05-03,36.875,37.875,36.875,37.875,28.244958877563477,601500.0
1996-05-06,37.875,37.875,37.125,37.25,27.778871536254883,169200.0
1996-05-07,37.25,37.5,36.125,36.25,27.033132553100586,365500.0
1996-05-08,35.75,36.5,35.5,36.5,27.219566345214844,586600.0
1996-05-09,36.25,36.25,35.75,35.75,26.660247802734375,480000.0
1996-05-10,35.875,36.125,35.125,35.625,26.56704330444336,904900.0
1996-05-13,34.875,34.875,33.75,34.0,25.355209350585938,1644100.0
1996-05-14,34.0,34.375,33.5,34.25,25.54164695739746,2063900.0
1996-05-15,36.375,37.5,36.25,37.125,27.6856632232666,2560500.0
1996-05-16,36.875,38.0,36.75,38.0,28.338176727294922,724300.0
1996-05-17,37.5,38.125,37.375,38.0,28.338176727294922,1265500.0
1996-05-20,38.5,39.625,38.5,39.5,29.456787109375,1281000.0
1996-05-21,39.5,39.875,38.875,39.125,29.177135467529297,632600.0
1996-05-22,39.0,39.125,37.75,38.625,28.80428695678711,528200.0
1996-05-23,38.625,39.0,38.25,38.375,28.617830276489258,218500.0
1996-05-24,38.25,38.875,38.125,38.125,28.431394577026367,302700.0
1996-05-28,37.875,38.25,37.625,38.0,28.338176727294922,249200.0
1996-05-29,37.875,38.125,37.0,37.25,27.778871536254883,589700.0
1996-05-30,37.25,38.0,37.25,37.75,28.151742935180664,355000.0
1996-05-31,37.125,37.25,36.625,36.625,27.312774658203125,436400.0
1996-06-03,36.75,36.875,36.375,36.5,27.219566345214844,202500.0
1996-06-04,37.0,37.5,37.0,37.375,27.872095108032227,256200.0
1996-06-05,37.375,37.5,37.0,37.25,27.778871536254883,379600.0
1996-06-06,37.25,37.25,35.75,36.625,27.312774658203125,585200.0
1996-06-07,36.125,37.25,36.0,37.25,27.778871536254883,334000.0
1996-06-10,37.125,37.125,36.5,36.625,27.312774658203125,239800.0
1996-06-11,36.625,37.875,36.625,37.5,27.965314865112305,278900.0
1996-06-12,38.5,39.375,38.375,39.375,29.426359176635742,414200.0
1996-06-13,39.125,39.625,39.0,39.0,29.14608383178711,401500.0
1996-06-14,39.125,39.125,38.75,38.75,28.95926284790039,223100.0
1996-06-17,38.75,39.25,38.75,39.25,29.332935333251953,129200.0
1996-06-18,39.25,39.25,39.0,39.0,29.14608383178711,360900.0
1996-06-19,39.125,39.125,38.75,38.875,29.05268669128418,75700.0
1996-06-20,38.75,38.875,38.375,38.625,28.8658447265625,180800.0
1996-06-21,38.875,39.0,38.625,38.875,29.05268669128418,148800.0
1996-06-24,38.75,38.875,37.75,38.125,28.492185592651367,925900.0
1996-06-25,38.25,38.375,37.75,37.875,28.305343627929688,90500.0
1996-06-26,37.875,38.0,37.375,37.5,28.025110244750977,200200.0
1996-06-27,37.625,37.625,36.25,36.75,27.4646053314209,264000.0
1996-06-28,37.0,38.0,37.0,37.625,28.11851692199707,418300.0
1996-07-01,37.5,40.125,37.25,39.875,29.80000877380371,760300.0
1996-07-02,39.875,39.875,37.875,38.25,28.58559799194336,1116500.0
1996-07-03,38.375,38.375,38.25,38.25,28.58559799194336,604000.0
1996-07-05,38.25,38.25,37.625,37.875,28.305343627929688,128700.0
1996-07-08,37.875,39.0,37.875,38.25,28.58559799194336,940000.0
1996-07-09,38.25,38.25,37.625,38.0,28.39876937866211,316700.0
1996-07-10,39.0,39.0,38.625,38.625,28.8658447265625,694200.0
1996-07-11,38.75,38.875,37.625,38.0,28.39876937866211,380500.0
1996-07-12,37.875,38.375,37.625,37.625,28.11851692199707,558900.0
1996-07-15,37.5,37.5,35.5,35.625,26.623830795288086,323500.0
1996-07-16,35.875,37.0,35.125,36.5,27.277755737304688,891700.0
1996-07-17,38.0,38.0,37.25,37.75,28.21193504333496,487400.0
