Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,45.625,47.875,45.625,47.75,35.68555450439453,695700.0
1996-01-03,48.0,49.0,48.0,48.625,36.33946990966797,1353300.0
1996-01-04,48.625,48.75,48.375,48.5,36.246063232421875,580300.0
1996-01-05,49.125,50.375,49.125,49.875,37.27365493774414,777800.0
1996-01-08,50.0,51.125,50.0,51.0,38.114410400390625,262700.0
1996-01-09,51.5,52.625,50.625,52.625,39.328853607177734,1264700.0
1996-01-10,52.25,54.875,52.25,54.25,40.54328536987305,1811700.0
1996-01-11,54.375,54.375,53.25,53.75,40.16960906982422,1447800.0
1996-01-12,52.25,52.875,50.625,51.25,38.301246643066406,5950200.0
1996-01-15,51.0,51.75,50.5,51.75,38.6749267578125,680600.0
1996-01-16,52.5,52.5,51.125,51.25,38.301246643066406,720400.0
1996-01-17,51.5,52.5,51.25,52.375,39.14200210571289,569600.0
1996-01-18,52.0,52.0,51.5,51.625,38.58150863647461,297200.0
1996-01-19,52.25,53.875,52.125,53.875,40.263023376464844,696000.0
1996-01-22,54.875,56.75,54.625,56.125,41.94454574584961,1261400.0
1996-01-23,56.0,56.0,54.375,56.0,41.85111999511719,1198200.0
1996-01-24,55.375,55.5,54.375,54.5,40.730125427246094,1037000.0
1996-01-25,55.0,56.25,55.0,55.625,41.57087326049805,2042200.0
1996-01-26,55.5,56.625,55.375,56.375,42.13138198852539,809700.0
1996-01-29,56.25,56.75,56.125,56.375,42.13138198852539,1435200.0
1996-01-30,56.625,57.125,55.875,56.375,42.13138198852539,1222900.0
1996-01-31,56.625,56.75,55.375,56.0,41.85111999511719,800500.0
1996-02-01,56.625,58.75,56.625,58.125,43.43924331665039,1680800.0
1996-02-02,58.625,59.375,58.5,59.125,44.186580657958984,1883800.0
1996-02-05,59.625,59.875,58.875,59.875,44.838077545166016,1707800.0
1996-02-06,59.875,60.0,59.125,59.75,44.744483947753906,681200.0
1996-02-07,60.0,60.75,57.0,57.0,42.68510818481445,1274400.0
1996-02-08,56.75,56.75,54.0,55.375,41.46820068359375,1743200.0
1996-02-09,54.875,55.75,54.0,55.0,41.18737030029297,849100.0
1996-02-12,54.75,56.125,54.0,54.625,40.906558990478516,827000.0
1996-02-13,54.75,55.125,54.0,54.875,41.093788146972656,787200.0
1996-02-14,55.0,57.5,54.75,57.375,42.96592712402344,898700.0
1996-02-15,57.5,57.75,55.25,55.25,41.374603271484375,611100.0
1996-02-16,55.875,56.375,55.5,56.125,42.02985763549805,580500.0
1996-02-20,55.375,56.25,54.125,54.5,40.8129768371582,694700.0
1996-02-21,54.0,56.0,53.0,56.0,41.93623352050781,985900.0
1996-02-22,55.625,55.75,54.75,55.5,41.56183624267578,528700.0
1996-02-23,55.0,55.625,54.5,55.375,41.46820068359375,566300.0
1996-02-26,55.625,57.125,55.625,57.125,42.778709411621094,684000.0
1996-02-27,56.75,57.375,56.125,56.5,42.31068801879883,628600.0
1996-02-28,56.625,57.0,55.875,56.5,42.31068801879883,642300.0
1996-02-29,57.0,57.375,56.75,56.875,42.59150695800781,467000.0
1996-03-01,56.875,57.0,55.375,55.875,41.84263610839844,524000.0
1996-03-04,54.25,54.625,52.75,53.0,39.68967819213867,721300.0
1996-03-05,53.125,53.75,52.75,53.125,39.78327178955078,665500.0
1996-03-06,53.5,53.875,52.75,53.0,39.68967819213867,503600.0
1996-03-07,53.125,54.25,53.0,54.25,40.62575149536133,592900.0
1996-03-08,55.0,55.75,53.25,53.5,40.0640983581543,867600.0
1996-03-11,53.25,54.375,53.0,54.25,40.62575149536133,544000.0
1996-03-12,54.0,55.0,53.75,53.75,40.251304626464844,409300.0
1996-03-13,54.0,54.875,53.375,54.625,40.906558990478516,375400.0
1996-03-14,54.125,54.75,53.75,54.375,40.7193489074707,598600.0
1996-03-15,54.5,55.125,54.0,54.625,40.906558990478516,650800.0
1996-03-18,53.75,54.0,53.0,54.0,40.438514709472656,1044600.0
1996-03-19,54.0,55.125,54.0,54.5,40.8129768371582,564800.0
1996-03-20,54.375,54.75,53.75,54.0,40.438514709472656,371300.0
1996-03-21,54.5,55.375,54.375,54.875,41.093788146972656,453000.0
1996-03-22,55.0,56.375,54.875,56.25,42.12344741821289,482800.0
1996-03-25,55.875,57.125,55.625,57.125,42.778709411621094,589200.0
1996-03-26,57.375,60.0,57.375,59.75,44.744483947753906,900500.0
1996-03-27,59.5,59.625,58.5,58.875,44.089229583740234,437000.0
1996-03-28,58.5,58.5,56.625,56.75,42.497901916503906,502900.0
1996-03-29,57.0,57.5,56.625,56.625,42.40427780151367,322700.0
1996-04-01,56.375,56.625,55.75,55.875,41.84263610839844,502400.0
1996-04-02,56.125,56.125,55.25,56.0,41.93623352050781,375200.0
1996-04-03,56.0,58.375,56.0,58.0,43.4339714050293,567100.0
1996-04-04,57.75,57.75,56.875,57.375,42.96592712402344,304500.0
1996-04-08,57.25,59.5,57.0,59.25,44.37004470825195,584800.0
1996-04-09,58.25,59.0,57.75,57.875,43.34035110473633,653000.0
1996-04-10,57.5,59.25,57.125,59.25,44.37004470825195,594500.0
1996-04-11,58.5,60.5,58.375,59.625,44.65087127685547,1416900.0
1996-04-12,59.25,59.25,57.375,57.625,43.15314483642578,390900.0
1996-04-15,57.125,57.25,56.625,57.125,42.778709411621094,258400.0
1996-04-16,57.375,58.25,55.875,56.0,41.93623352050781,718200.0
1996-04-17,56.0,56.5,55.25,56.0,41.93623352050781,351600.0
1996-04-18,56.25,56.75,55.625,56.0,41.93623352050781,672600.0
1996-04-19,56.0,56.0,54.0,54.0,40.438514709472656,645400.0
1996-04-22,54.25,55.5,54.25,55.5,41.56183624267578,440000.0
1996-04-23,56.0,56.375,55.5,55.75,41.74903106689453,403500.0
1996-04-24,55.75,56.25,55.625,55.625,41.65542984008789,259200.0
1996-04-25,56.75,58.125,56.625,58.0,43.4339714050293,554200.0
1996-04-26,57.375,57.5,56.75,56.875,42.59150695800781,354400.0
1996-04-29,56.875,57.5,56.625,56.75,42.497901916503906,186300.0
1996-04-30,57.0,58.125,56.75,57.875,43.34035110473633,454800.0
1996-05-01,58.0,58.875,57.25,57.625,43.15314483642578,417600.0
1996-05-02,57.375,58.125,57.25,57.625,43.15314483642578,525900.0
1996-05-03,57.0,57.75,56.125,56.5,42.31068801879883,404000.0
1996-05-06,57.125,59.375,57.0,58.5,43.808387756347656,588400.0
1996-05-07,58.75,60.125,58.75,59.25,44.37004470825195,866700.0
1996-05-08,59.75,60.125,58.375,58.5,43.808387756347656,858300.0
1996-05-09,58.625,58.75,57.875,58.625,43.902000427246094,380200.0
1996-05-10,58.75,58.75,58.0,58.5,43.808387756347656,317300.0
1996-05-13,58.75,59.25,58.625,59.125,44.27642822265625,313800.0
1996-05-14,58.625,58.875,58.25,58.875,44.089229583740234,396100.0
1996-05-15,58.875,59.25,58.75,59.125,44.27642822265625,353900.0
1996-05-16,58.75,59.125,58.5,58.75,43.9956169128418,138900.0
1996-05-17,58.875,58.875,58.25,58.5,43.808387756347656,242400.0
1996-05-20,58.25,58.25,56.875,57.25,42.872310638427734,573400.0
1996-05-21,57.5,58.75,56.625,58.375,43.71478271484375,1070000.0
1996-05-22,58.375,58.5,57.625,58.0,43.4339714050293,406400.0
1996-05-23,58.0,58.0,57.125,57.125,42.778709411621094,348300.0
1996-05-24,56.75,57.0,56.25,56.5,42.39974594116211,479100.0
1996-05-28,57.0,57.5,56.75,57.0,42.774959564208984,635900.0
1996-05-29,57.0,57.125,56.625,56.875,42.681148529052734,307800.0
1996-05-30,57.125,58.125,57.125,58.0,43.525386810302734,449400.0
1996-05-31,58.5,60.25,58.0,60.25,45.213890075683594,778900.0
1996-06-03,60.375,60.375,58.75,58.875,44.18203353881836,546800.0
1996-06-04,58.875,58.875,56.875,57.25,42.962581634521484,389500.0
1996-06-05,56.875,57.0,53.625,54.0,40.52364730834961,799600.0
1996-06-06,54.0,54.5,52.75,53.0,39.773216247558594,850000.0
1996-06-07,53.75,54.375,51.0,52.25,39.21037292480469,1046300.0
1996-06-10,52.5,52.625,51.0,51.375,38.553733825683594,632500.0
1996-06-11,50.5,51.375,49.625,51.0,38.27232360839844,1041100.0
1996-06-12,51.375,51.625,50.375,50.5,37.8971061706543,769300.0
1996-06-13,50.75,51.5,50.625,50.625,37.99090576171875,579800.0
1996-06-14,50.625,51.125,50.0,50.5,37.8971061706543,624100.0
1996-06-17,50.375,51.125,50.125,50.125,37.615684509277344,320500.0
1996-06-18,50.125,50.625,49.875,50.0,37.52189636230469,694300.0
1996-06-19,50.25,50.75,50.25,50.375,37.803314208984375,793400.0
1996-06-20,50.5,51.125,50.375,50.875,38.178524017333984,420500.0
1996-06-21,50.75,50.75,49.875,49.875,37.42809295654297,851700.0
1996-06-24,50.0,51.5,49.625,51.5,38.64754867553711,708000.0
1996-06-25,51.75,52.125,50.25,50.375,37.803314208984375,448600.0
1996-06-26,50.5,50.75,48.75,49.375,37.05284881591797,529400.0
1996-06-27,49.625,50.0,49.375,49.375,37.05284881591797,440400.0
1996-06-28,49.625,50.25,49.25,49.375,37.05284881591797,346400.0
1996-07-01,50.25,51.0,50.125,50.25,37.70948791503906,452700.0
1996-07-02,50.0,50.5,49.5,49.5,37.14668655395508,458300.0
1996-07-03,49.75,50.25,49.375,49.75,37.334285736083984,371000.0
1996-07-05,49.75,52.125,49.75,51.75,38.83515548706055,475700.0
1996-07-08,51.875,52.125,51.125,51.375,38.553733825683594,702500.0
1996-07-09,52.0,53.0,51.75,53.0,39.773216247558594,783800.0
1996-07-10,53.5,53.75,52.625,53.0,39.773216247558594,477200.0
1996-07-11,53.25,53.25,51.375,51.75,38.83515548706055,478100.0
1996-07-12,51.875,51.875,50.125,50.125,37.615684509277344,264200.0
1996-07-15,49.75,50.875,49.5,49.5,37.14668655395508,406400.0
1996-07-16,49.25,49.5,47.5,48.625,36.49003982543945,824700.0
1996-07-17,48.75,48.875,47.625,47.625,35.739601135253906,505800.0
1996-07-18,47.875,48.5,47.875,48.25,36.208641052246094,415700.0
1996-07-19,48.375,49.25,48.375,49.125,36.86525344848633,556700.0
1996-07-22,48.75,49.375,48.5,48.875,36.677650451660156,338600.0
1996-07-23,49.125,49.25,48.0,48.125,36.11483383178711,295900.0
1996-07-24,47.75,47.75,46.875,46.875,35.176780700683594,438700.0
1996-07-25,47.125,47.25,46.875,47.0,35.27057647705078,602000.0
1996-07-26,47.0,48.125,46.875,47.875,35.927207946777344,927900.0
1996-07-29,47.75,47.75,46.625,46.75,35.17112350463867,328300.0
1996-07-30,46.875,46.875,46.0,46.0,34.60689163208008,313800.0
1996-07-31,46.75,49.375,46.375,48.125,36.20558547973633,901300.0
1996-08-01,49.0,50.75,48.625,49.875,37.522151947021484,775900.0
1996-08-02,49.875,50.375,49.125,50.125,37.71022033691406,811900.0
