Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,2.5,2.5,2.375,2.375,1.987017273902893,1892800
1996-01-03,2.375,2.40625,2.09375,2.125,1.7778578996658325,3336000
1996-01-04,2.140625,2.140625,1.6875,1.875,1.5686981678009033,6041600
1996-01-05,1.890625,2.0625,1.8125,1.9375,1.6209880113601685,3273600
1996-01-08,1.96875,2.0,1.953125,1.953125,1.6340603828430176,166400
1996-01-09,2.0,2.0,1.65625,1.6875,1.4118283987045288,2500800
1996-01-10,1.609375,1.71875,1.578125,1.625,1.359538197517395,3016000
1996-01-11,1.765625,1.890625,1.734375,1.796875,1.5033353567123413,3654400
1996-01-12,1.875,1.875,1.6875,1.75,1.4641178846359253,793600
1996-01-15,1.75,1.765625,1.640625,1.703125,1.424900770187378,668800
1996-01-16,1.671875,1.6875,1.421875,1.6875,1.4118283987045288,3932800
1996-01-17,1.59375,1.6875,1.578125,1.671875,1.3987557888031006,1545600
1996-01-18,1.625,1.6875,1.625,1.6875,1.4118283987045288,3180800
1996-01-19,1.6796875,1.921875,1.640625,1.830078125,1.5311144590377808,4825600
1996-01-22,1.875,1.9375,1.828125,1.875,1.5686981678009033,1913600
1996-01-23,1.859375,1.921875,1.859375,1.8984375,1.5883070230484009,1126400
1996-01-24,1.90625,2.0625,1.890625,2.0,1.6732779741287231,1267200
1996-01-25,2.046875,2.171875,2.0,2.109375,1.7647849321365356,2702400
1996-01-26,2.09375,2.1875,2.0625,2.1484375,1.7974666357040405,982400
1996-01-29,2.140625,2.1875,2.109375,2.125,1.7778578996658325,936000
1996-01-30,2.078125,2.125,1.875,2.0,1.6732779741287231,3513600
1996-01-31,1.96875,2.078125,1.921875,1.921875,1.6079154014587402,1129600
1996-02-01,1.953125,2.03125,1.921875,1.96875,1.6471325159072876,857600
1996-02-02,2.03125,2.03125,1.921875,1.9453125,1.6275242567062378,1857600
1996-02-05,1.9375,2.015625,1.921875,2.015625,1.6863503456115723,964800
1996-02-06,2.015625,2.203125,1.984375,2.078125,1.7386401891708374,2483200
1996-02-07,2.125,2.1875,2.046875,2.125,1.7778578996658325,3126400
1996-02-08,2.203125,2.328125,2.15625,2.265625,1.8955103158950806,2886400
1996-02-09,2.265625,2.390625,2.234375,2.234375,1.869364857673645,1934400
1996-02-12,2.2578125,2.2578125,2.0625,2.203125,1.8432201147079468,2108800
1996-02-13,2.140625,2.359375,2.09375,2.25,1.8824377059936523,2425600
1996-02-14,2.28125,2.375,2.25,2.3671875,1.9804813861846924,2414400
1996-02-15,2.3671875,2.515625,2.328125,2.421875,2.0262351036071777,4148800
1996-02-16,2.53125,2.578125,2.203125,2.234375,1.869364857673645,4108800
1996-02-20,2.21875,2.2734375,2.171875,2.171875,1.817075252532959,1452800
1996-02-21,2.1875,2.25,2.171875,2.25,1.8824377059936523,1270400
1996-02-22,2.25,2.359375,2.234375,2.34375,1.9608721733093262,2659200
1996-02-23,2.3125,2.359375,2.15625,2.21875,1.8562928438186646,2572800
1996-02-26,2.15625,2.15625,2.09375,2.125,1.7778578996658325,3064000
1996-02-27,2.1484375,2.1484375,2.046875,2.078125,1.7386401891708374,2192000
1996-02-28,2.0625,2.125,2.0625,2.078125,1.7386401891708374,763200
1996-02-29,2.078125,2.1328125,1.90625,1.984375,1.6602052450180054,2452800
1996-03-01,2.015625,2.015625,1.921875,1.9375,1.6209880113601685,456000
1996-03-04,1.984375,1.984375,1.921875,1.984375,1.6602052450180054,278400
1996-03-05,1.984375,2.0,1.9375,1.9375,1.6209880113601685,670400
1996-03-06,1.9375,2.03125,1.9375,1.96875,1.6471325159072876,166400
1996-03-07,1.96875,2.03125,1.96875,1.984375,1.6602052450180054,398400
1996-03-08,1.984375,2.046875,1.953125,1.953125,1.6340603828430176,246400
1996-03-11,1.953125,2.015625,1.953125,2.015625,1.6863503456115723,163200
1996-03-12,1.953125,2.015625,1.9375,1.9375,1.6209880113601685,187200
1996-03-13,2.0,2.0,1.9375,1.9375,1.6209880113601685,137600
1996-03-14,2.0,2.0,1.9375,1.953125,1.6340603828430176,499200
1996-03-15,1.953125,2.015625,1.953125,2.015625,1.6863503456115723,3489600
1996-03-18,1.953125,2.015625,1.953125,1.953125,1.6340603828430176,1588800
1996-03-19,2.015625,2.015625,1.953125,1.96875,1.6471325159072876,144000
1996-03-20,1.96875,2.0,1.921875,1.921875,1.6079154014587402,534400
1996-03-21,1.921875,1.984375,1.921875,1.921875,1.6079154014587402,563200
1996-03-22,1.984375,1.984375,1.875,1.921875,1.6079154014587402,1032000
1996-03-25,1.984375,2.015625,1.921875,2.015625,1.6863503456115723,340800
1996-03-26,1.953125,2.015625,1.921875,1.921875,1.6079154014587402,475200
1996-03-27,1.984375,1.984375,1.921875,1.984375,1.6602052450180054,339200
1996-03-28,1.984375,1.984375,1.921875,1.921875,1.6079154014587402,163200
1996-03-29,1.984375,1.984375,1.921875,1.984375,1.6602052450180054,796800
1996-04-01,1.984375,1.984375,1.796875,1.859375,1.5556254386901855,1193600
1996-04-02,1.859375,1.859375,1.796875,1.796875,1.5033353567123413,729600
1996-04-03,1.796875,1.859375,1.796875,1.796875,1.5033353567123413,48000
1996-04-04,1.859375,1.859375,1.6875,1.71875,1.4379732608795166,1596800
1996-04-08,1.71875,1.75,1.6875,1.6875,1.4118283987045288,491200
1996-04-09,1.6875,1.75,1.6875,1.6953125,1.418364405632019,500800
1996-04-10,1.6875,1.75,1.6875,1.6875,1.4118283987045288,1577600
1996-04-11,1.75,1.75,1.6875,1.703125,1.424900770187378,809600
1996-04-12,1.75,1.75,1.625,1.6875,1.4118283987045288,6328000
1996-04-15,1.75,1.75,1.6875,1.6875,1.4118283987045288,809600
1996-04-16,1.75,1.75,1.6875,1.6875,1.4118283987045288,606400
1996-04-17,1.6875,1.75,1.6875,1.6875,1.4118283987045288,128000
1996-04-18,1.75,1.75,1.69140625,1.75,1.4641178846359253,96000
1996-04-19,1.6875,1.78125,1.6875,1.7578125,1.4706542491912842,1664000
1996-04-22,1.78125,1.78125,1.71875,1.765625,1.4771908521652222,500800
1996-04-23,1.734375,1.8125,1.734375,1.8125,1.516408085823059,822400
1996-04-24,1.8125,1.875,1.75,1.8671875,1.5621616840362549,1388800
1996-04-25,1.8515625,2.046875,1.8125,1.984375,1.6602052450180054,1884800
1996-04-26,2.046875,2.1875,2.0,2.140625,1.790930151939392,1382400
1996-04-29,2.1875,2.1875,2.109375,2.109375,1.7647849321365356,483200
1996-04-30,2.15625,2.15625,2.0,2.0,1.6732779741287231,766400
1996-05-01,2.0625,2.0625,1.96875,1.96875,1.6471325159072876,243200
1996-05-02,2.03125,2.03125,1.96875,1.96875,1.6471325159072876,206400
1996-05-03,2.0,2.03125,1.9375,2.0,1.6732779741287231,392000
1996-05-06,1.953125,2.0,1.9375,2.0,1.6732779741287231,1449600
1996-05-07,2.0625,2.0625,2.0,2.0625,1.7255676984786987,331200
1996-05-08,2.0,2.0625,2.0,2.0625,1.7255676984786987,2251200
1996-05-09,2.015625,2.25,2.015625,2.25,1.8824377059936523,2867200
1996-05-10,2.21875,2.3203125,2.1875,2.3203125,1.9412641525268555,3934400
1996-05-13,2.34375,2.453125,2.28125,2.40625,2.013162136077881,3163200
1996-05-14,2.40625,2.46875,2.359375,2.359375,1.9739453792572021,2824000
1996-05-15,2.359375,2.421875,2.359375,2.421875,2.0262351036071777,2094400
1996-05-16,2.25,2.28125,2.125,2.28125,1.9085816144943237,5265600
1996-05-17,2.28125,2.28125,2.21875,2.21875,1.8562928438186646,4318400
1996-05-20,2.21875,2.28125,2.171875,2.171875,1.817075252532959,6369600
1996-05-21,2.171875,2.234375,2.171875,2.171875,1.817075252532959,1406400
1996-05-22,2.171875,2.234375,2.171875,2.171875,1.817075252532959,878400
1996-05-23,2.234375,2.234375,2.171875,2.171875,1.817075252532959,1516800
1996-05-24,2.234375,2.234375,2.140625,2.140625,1.790930151939392,233600
1996-05-28,2.109375,2.171875,2.046875,2.109375,1.7647849321365356,416000
1996-05-29,2.046875,2.109375,2.046875,2.078125,1.7386401891708374,1569600
1996-05-30,2.078125,2.078125,2.078125,2.078125,1.7386401891708374,62400
1996-05-31,2.140625,2.140625,2.078125,2.140625,1.790930151939392,4156800
1996-06-03,2.140625,2.140625,2.078125,2.109375,1.7647849321365356,2275200
1996-06-04,2.140625,2.140625,2.078125,2.09375,1.751712441444397,596800
1996-06-05,2.078125,2.140625,2.0625,2.078125,1.7386401891708374,1793600
1996-06-06,2.125,2.125,2.0625,2.0625,1.7255676984786987,502400
1996-06-07,2.046875,2.109375,2.046875,2.078125,1.7386401891708374,923200
1996-06-10,2.078125,2.078125,2.015625,2.015625,1.6863503456115723,104000
1996-06-11,2.0625,2.078125,2.015625,2.015625,1.6863503456115723,179200
1996-06-12,2.015625,2.078125,2.015625,2.078125,1.7386401891708374,156800
1996-06-13,2.078125,2.21875,2.015625,2.140625,1.790930151939392,5417600
1996-06-14,2.1875,2.203125,2.109375,2.171875,1.817075252532959,553600
1996-06-17,2.171875,2.171875,2.046875,2.046875,1.7124955654144287,305600
1996-06-18,2.046875,2.078125,1.8125,1.8125,1.516408085823059,1616000
1996-06-19,1.875,1.875,1.8125,1.8359375,1.5360167026519775,1459200
1996-06-20,1.8515625,1.875,1.8125,1.8359375,1.5360167026519775,1216000
1996-06-21,1.8125,1.875,1.8125,1.875,1.5686981678009033,140800
1996-06-24,1.875,1.875,1.8125,1.875,1.5686981678009033,1096000
1996-06-25,1.8125,1.875,1.8125,1.8125,1.516408085823059,580800
1996-06-26,1.84375,1.875,1.8125,1.8125,1.516408085823059,472000
1996-06-27,1.78125,1.84375,1.78125,1.78125,1.4902628660202026,523200
1996-06-28,1.8125,1.859375,1.78125,1.859375,1.5556254386901855,1696000
1996-07-01,1.796875,1.859375,1.796875,1.828125,1.5294805765151978,430400
1996-07-02,1.828125,1.828125,1.796875,1.8125,1.516408085823059,40000
1996-07-03,1.8125,1.8125,1.8125,1.8125,1.516408085823059,308800
1996-07-05,1.8125,1.8125,1.8125,1.8125,1.516408085823059,0
1996-07-08,1.84375,1.84375,1.796875,1.8125,1.516408085823059,251200
1996-07-09,1.78125,1.78125,1.671875,1.734375,1.4510457515716553,371200
1996-07-10,1.6875,1.734375,1.625,1.6875,1.4118283987045288,355200
1996-07-11,1.6875,1.6875,1.59375,1.59375,1.3333934545516968,270400
1996-07-12,1.59375,1.65625,1.59375,1.65625,1.3856830596923828,144000
1996-07-15,1.65625,1.65625,1.5625,1.5625,1.3072483539581299,526400
1996-07-16,1.5625,1.625,1.5625,1.5625,1.3072483539581299,116800
1996-07-17,1.625,1.625,1.5625,1.5625,1.3072483539581299,360000
1996-07-18,1.59375,1.625,1.5625,1.625,1.359538197517395,249600
1996-07-19,1.5625,1.625,1.5625,1.625,1.359538197517395,148800
1996-07-22,1.625,1.625,1.5625,1.625,1.359538197517395,94400
1996-07-23,1.5625,1.59375,1.515625,1.515625,1.2680310010910034,230400
1996-07-24,1.53125,1.578125,1.484375,1.515625,1.2680310010910034,126400
1996-07-25,1.5625,1.5625,1.515625,1.515625,1.2680310010910034,180800
1996-07-26,1.515625,1.5625,1.515625,1.515625,1.2680310010910034,232000
1996-07-29,1.5625,1.5625,1.5,1.546875,1.2941759824752808,156800
1996-07-30,1.484375,1.546875,1.484375,1.546875,1.2941759824752808,320000
1996-07-31,1.546875,1.546875,1.25,1.5,1.2549580335617065,2108800
1996-08-01,1.40625,1.40625,1.2734375,1.359375,1.1373060941696167,18251200
1996-08-02,1.46875,1.734375,1.40625,1.640625,1.3726105690002441,5177600
1996-08-05,1.6875,1.6875,1.625,1.6875,1.4118283987045288,928000
1996-08-06,1.6875,1.6875,1.546875,1.578125,1.320320963859558,2342400
1996-08-07,1.625,1.703125,1.5625,1.6875,1.4118283987045288,1617600
1996-08-08,1.6875,1.796875,1.671875,1.796875,1.5033353567123413,4144000
1996-08-09,1.875,1.921875,1.796875,1.8515625,1.5490893125534058,3920000
1996-08-12,1.90625,1.953125,1.84375,1.875,1.5686981678009033,1324800
1996-08-13,1.921875,1.921875,1.6875,1.78125,1.4902628660202026,1468800
1996-08-14,1.78125,1.796875,1.71875,1.734375,1.4510457515716553,1563200
1996-08-15,1.828125,1.875,1.59375,1.765625,1.4771908521652222,3273600
1996-08-16,1.765625,1.765625,1.6875,1.6875,1.4118283987045288,281600
1996-08-19,1.75,1.75,1.65625,1.65625,1.3856830596923828,193600
1996-08-20,1.65625,1.71875,1.625,1.640625,1.3726105690002441,361600
1996-08-21,1.6875,1.6875,1.640625,1.6484375,1.379146933555603,2564800
1996-08-22,1.6875,1.75,1.671875,1.71875,1.4379732608795166,1323200
1996-08-23,1.765625,1.765625,1.703125,1.703125,1.424900770187378,513600
1996-08-26,1.703125,1.71875,1.65625,1.71875,1.4379732608795166,139200
1996-08-27,1.71875,1.71875,1.65625,1.703125,1.424900770187378,278400
1996-08-28,1.65625,1.765625,1.65625,1.7421875,1.4575819969177246,2308800
1996-08-29,1.71875,1.78125,1.6875,1.6875,1.4118283987045288,548800
1996-08-30,1.75,1.75,1.6875,1.75,1.4641178846359253,401600
1996-09-03,1.6875,1.78125,1.65625,1.78125,1.4902628660202026,726400
1996-09-04,1.78125,1.796875,1.734375,1.796875,1.5033353567123413,1267200
1996-09-05,1.796875,1.796875,1.734375,1.734375,1.4510457515716553,2460800
1996-09-06,1.734375,1.796875,1.734375,1.796875,1.5033353567123413,507200
1996-09-09,1.78125,1.8125,1.75,1.75,1.4641178846359253,89600
1996-09-10,1.765625,1.78125,1.71875,1.75,1.4641178846359253,2142400
1996-09-11,1.71875,1.71875,1.625,1.625,1.359538197517395,843200
1996-09-12,1.6875,1.703125,1.625,1.6875,1.4118283987045288,392000
1996-09-13,1.71875,1.75,1.671875,1.671875,1.3987557888031006,1168000
1996-09-16,1.734375,1.734375,1.671875,1.671875,1.3987557888031006,1195200
1996-09-17,1.734375,1.734375,1.625,1.625,1.359538197517395,156800
1996-09-18,1.625,1.625,1.53125,1.53125,1.281103491783142,435200
1996-09-19,1.59375,1.59375,1.53125,1.59375,1.3333934545516968,7120000
1996-09-20,1.59375,1.71875,1.53125,1.6875,1.4118283987045288,14971200
1996-09-23,1.71875,1.765625,1.671875,1.765625,1.4771908521652222,2121600
1996-09-24,1.765625,1.8203125,1.703125,1.78125,1.4902628660202026,1950400
1996-09-25,1.78125,2.0,1.78125,1.953125,1.6340603828430176,5817600
1996-09-26,1.9375,2.0,1.875,1.95703125,1.6373281478881836,6572800
1996-09-27,1.96875,1.96875,1.90625,1.9140625,1.60137939453125,1297600
1996-09-30,1.9375,1.9375,1.875,1.875,1.5686981678009033,2612800
1996-10-01,1.875,1.9375,1.75,1.75,1.4641178846359253,1824000
1996-10-02,1.796875,1.859375,1.734375,1.796875,1.5033353567123413,2398400
1996-10-03,1.84375,1.890625,1.796875,1.8828125,1.5752345323562622,580800
1996-10-04,1.90625,1.90625,1.8671875,1.890625,1.5817705392837524,1924800
1996-10-07,1.8671875,1.90625,1.8671875,1.875,1.5686981678009033,556800
1996-10-08,1.875,1.9375,1.84375,1.890625,1.5817705392837524,1600000
1996-10-09,1.90625,1.9140625,1.8125,1.84375,1.5425528287887573,1878400
1996-10-10,1.765625,1.8515625,1.765625,1.796875,1.5033353567123413,1307200
1996-10-11,1.828125,1.953125,1.8125,1.953125,1.6340603828430176,3108800
1996-10-14,1.953125,2.0,1.921875,1.984375,1.6602052450180054,2216000
1996-10-15,2.015625,2.1875,1.953125,2.1796875,1.8236114978790283,5948800
1996-10-16,2.1875,2.3125,2.15625,2.19921875,1.839951992034912,7945600
1996-10-17,2.203125,2.203125,2.09375,2.1953125,1.8366838693618774,760000
1996-10-18,2.21875,2.21875,1.96875,2.078125,1.7386401891708374,1739200
1996-10-21,2.078125,2.09375,2.03125,2.09375,1.751712441444397,1288000
1996-10-22,2.09375,2.09375,1.984375,1.984375,1.6602052450180054,6992000
1996-10-23,2.015625,2.015625,1.96875,1.96875,1.6471325159072876,356800
1996-10-24,2.0,2.125,1.984375,2.0625,1.7255676984786987,1169600
1996-10-25,2.0625,2.125,2.0,2.0,1.6732779741287231,451200
1996-10-28,2.0,2.015625,1.9375,1.96875,1.6471325159072876,1134400
