Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,23.5,23.5,22.75,23.0,8.731996536254883,3821400
1997-11-24,23.0,23.0,22.25,22.75,8.637080192565918,541600
1997-11-25,22.875,23.0,22.6875,23.0,8.731996536254883,425000
1997-11-26,23.0,23.0,22.75,22.75,8.637080192565918,165200
1997-11-28,22.75,23.0,22.75,23.0,8.731996536254883,60500
1997-12-01,23.0625,23.125,23.0,23.0625,8.755724906921387,120300
1997-12-02,23.125,23.125,22.875,23.0,8.731996536254883,164200
1997-12-03,23.0625,23.0625,22.9375,23.0,8.731996536254883,540000
1997-12-04,23.0,23.0625,23.0,23.0,8.731996536254883,43800
1997-12-05,22.875,23.375,22.875,23.0625,8.755724906921387,147500
1997-12-08,23.0,23.25,23.0,23.1875,8.803178787231445,74900
1997-12-09,23.125,23.1875,23.0,23.1875,8.803178787231445,61000
1997-12-10,23.125,23.25,23.0625,23.0625,8.755724906921387,104500
1997-12-11,23.0,23.125,23.0,23.0625,8.755724906921387,153600
1997-12-12,23.0625,23.1875,23.0625,23.1875,8.803178787231445,59900
1997-12-15,23.125,23.1875,23.0625,23.1875,8.803178787231445,24400
1997-12-16,23.1875,23.75,23.1875,23.625,9.021409034729004,107900
1997-12-17,23.75,24.25,23.6875,24.1875,9.2362060546875,63900
1997-12-18,24.125,24.25,24.125,24.25,9.260074615478516,35700
1997-12-19,24.25,24.25,23.75,23.875,9.116877555847168,134400
1997-12-22,23.9375,24.125,23.875,24.0,9.164606094360352,34400
1997-12-23,24.0,24.1875,24.0,24.0,9.164606094360352,88500
1997-12-24,23.9375,24.0,23.8125,24.0,9.164606094360352,63300
1997-12-26,23.875,23.875,23.5625,23.6875,9.04527759552002,34600
1997-12-29,23.875,24.0625,23.75,23.8125,9.093012809753418,159600
1997-12-30,24.0,24.3125,23.6875,24.3125,9.283940315246582,52400
1997-12-31,24.375,25.125,24.375,25.125,9.594194412231445,215700
1998-01-02,25.0,25.0,24.625,24.875,9.498735427856445,52000
1998-01-05,24.75,24.9375,24.625,24.625,9.40326976776123,42300
1998-01-06,24.75,24.75,24.625,24.6875,9.42713451385498,26900
1998-01-07,24.6875,24.75,24.4375,24.625,9.40326976776123,49500
1998-01-08,24.5,24.75,24.375,24.5625,9.37940502166748,95700
1998-01-09,24.5,24.5,24.125,24.375,9.30780029296875,37800
1998-01-12,24.125,24.4375,23.75,24.4375,9.331670761108398,24500
1998-01-13,24.5,24.625,24.4375,24.5625,9.37940502166748,190300
1998-01-14,24.5,24.75,24.25,24.75,9.451006889343262,201800
1998-01-15,24.75,24.75,24.5,24.5,9.355533599853516,39200
1998-01-16,24.5625,24.5625,24.375,24.5,9.355533599853516,13600
1998-01-20,24.625,24.75,24.5625,24.625,9.40326976776123,63200
1998-01-21,24.6875,24.875,24.5625,24.75,9.451006889343262,90400
1998-01-22,24.875,24.875,24.625,24.6875,9.42713451385498,99600
1998-01-23,24.75,24.75,24.4375,24.4375,9.331670761108398,11200
1998-01-26,24.3125,24.375,24.125,24.125,9.212342262268066,50500
1998-01-27,24.25,24.5,24.0,24.25,9.260074615478516,17300
1998-01-28,24.125,24.125,23.875,24.0,9.164606094360352,68700
1998-01-29,23.75,24.125,23.75,24.0,9.164606094360352,67700
1998-01-30,24.0,24.5,24.0,24.5,9.355533599853516,33000
1998-02-02,24.5,24.75,24.4375,24.75,9.451006889343262,31000
1998-02-03,24.625,24.75,24.5,24.5,9.355533599853516,18300
1998-02-04,24.5625,24.5625,24.375,24.375,9.30780029296875,29200
1998-02-05,24.375,24.625,24.375,24.5,9.355533599853516,10900
1998-02-06,24.5,24.5,24.125,24.5,9.355533599853516,129200
1998-02-09,24.1875,24.3125,23.9375,24.3125,9.283940315246582,101100
1998-02-10,24.375,24.625,24.3125,24.625,9.40326976776123,35000
1998-02-11,24.625,24.625,24.4375,24.625,9.40326976776123,40400
1998-02-12,24.5,24.625,24.3125,24.5,9.355533599853516,34500
1998-02-13,24.5625,24.625,24.375,24.5,9.355533599853516,73100
