Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,21.75,21.75,20.625,21.0,10.167353630065918,23800
1996-01-03,21.0,21.125,20.625,20.875,10.106827735900879,18400
1996-01-04,20.875,21.75,20.875,21.75,10.530471801757812,45200
1996-01-05,21.625,21.625,21.25,21.5,10.40943431854248,8800
1996-01-08,21.25,21.25,21.0,21.0,10.167353630065918,2200
1996-01-09,21.0,21.125,20.625,21.125,10.227873802185059,17400
1996-01-10,21.125,21.125,20.5,20.625,9.985790252685547,11600
1996-01-11,20.625,20.625,20.5,20.5,9.925271987915039,23800
1996-01-12,20.375,20.375,19.875,20.25,9.804232597351074,35600
1996-01-15,20.25,20.5,19.5,19.875,9.622676849365234,19800
1996-01-16,19.875,20.25,19.875,20.25,9.804232597351074,28400
1996-01-17,20.25,20.25,20.0,20.0,9.68319034576416,3800
1996-01-18,20.0,20.125,20.0,20.125,9.743712425231934,11000
1996-01-19,20.125,20.625,20.125,20.5,9.925271987915039,7200
1996-01-22,20.5,20.875,20.25,20.75,10.046307563781738,16800
1996-01-23,20.75,21.0,20.625,20.875,10.106827735900879,12800
1996-01-24,20.875,21.0,20.5,20.75,10.046307563781738,10000
1996-01-25,20.75,21.125,20.75,21.0,10.167353630065918,9400
1996-01-26,20.875,20.875,20.625,20.875,10.106827735900879,8200
1996-01-29,20.875,21.0,20.5,20.625,9.985790252685547,14400
1996-01-30,20.625,21.25,20.5,21.125,10.227873802185059,57400
1996-01-31,21.125,21.25,20.625,20.75,10.046307563781738,10800
1996-02-01,20.75,21.0,20.5,20.625,9.985790252685547,26000
1996-02-02,20.625,20.75,20.375,20.75,10.046307563781738,4000
1996-02-05,20.5,20.5,19.875,20.125,9.743712425231934,21400
1996-02-06,20.125,20.375,20.125,20.25,9.804232597351074,6200
1996-02-07,20.125,20.125,19.75,20.125,9.743712425231934,17600
1996-02-08,20.125,20.5,19.75,19.75,9.562153816223145,12400
1996-02-09,19.75,20.125,19.75,19.875,9.622676849365234,11200
1996-02-12,19.875,19.875,19.5,19.75,9.562153816223145,7800
1996-02-13,19.75,20.125,19.625,20.0,9.68319034576416,4400
1996-02-14,19.875,19.875,19.375,19.875,9.68564510345459,9400
1996-02-15,19.875,20.125,19.625,19.625,9.563812255859375,10000
1996-02-16,19.625,20.25,19.375,20.125,9.807473182678223,58800
1996-02-20,19.875,19.875,19.625,19.625,9.563812255859375,6800
1996-02-21,19.75,20.0,19.75,19.875,9.68564510345459,8000
1996-02-22,19.875,20.25,19.875,20.125,9.807473182678223,10600
1996-02-23,20.125,20.25,20.0,20.25,9.868390083312988,16000
1996-02-26,20.125,20.125,20.0,20.0,9.74655818939209,7800
1996-02-27,20.0,20.375,20.0,20.375,9.929309844970703,9000
1996-02-28,20.375,20.375,20.0,20.0,9.74655818939209,2600
1996-02-29,20.0,20.125,20.0,20.125,9.807473182678223,4400
1996-03-01,20.125,21.875,20.0,21.625,10.53846263885498,41600
1996-03-04,21.75,21.75,21.75,21.75,10.599382400512695,0
1996-03-05,21.75,21.75,21.0,21.0,10.233888626098633,8000
1996-03-06,20.875,20.875,20.25,20.375,9.929309844970703,13600
1996-03-07,20.375,20.5,20.25,20.375,9.929309844970703,8200
1996-03-08,20.375,20.375,19.625,19.75,9.624728202819824,9600
1996-03-11,19.75,20.25,19.5,20.0,9.74655818939209,16800
1996-03-12,20.0,20.25,19.875,20.25,9.868390083312988,12200
1996-03-13,20.25,20.5,20.0,20.0,9.74655818939209,9400
1996-03-14,20.0,20.375,20.0,20.125,9.807473182678223,16400
1996-03-15,20.125,20.625,20.125,20.375,9.929309844970703,13600
1996-03-18,20.375,20.5,20.25,20.5,9.990221977233887,9000
1996-03-19,20.5,20.5,20.25,20.5,9.990221977233887,8800
1996-03-20,20.375,20.375,20.25,20.375,9.929309844970703,4000
1996-03-21,20.375,20.375,20.125,20.125,9.807473182678223,5000
1996-03-22,20.125,20.25,19.75,19.75,9.624728202819824,16200
1996-03-25,19.875,20.125,19.875,20.0,9.74655818939209,11600
1996-03-26,20.125,20.5,20.125,20.375,9.929309844970703,21000
1996-03-27,20.375,20.625,20.375,20.625,10.05113697052002,87800
1996-03-28,20.625,20.75,20.625,20.75,10.11205005645752,5400
1996-03-29,20.875,22.5,20.875,22.25,10.843047142028809,67600
1996-04-01,22.125,22.125,21.375,21.875,10.660298347473145,29200
1996-04-02,21.875,22.125,21.375,21.375,10.416638374328613,14400
1996-04-03,21.125,21.125,20.625,20.875,10.172968864440918,5000
1996-04-04,21.25,21.25,21.25,21.25,10.355720520019531,12800
1996-04-08,21.25,21.5,20.375,20.375,9.929309844970703,11800
1996-04-09,20.375,21.25,20.125,21.25,10.355720520019531,16800
1996-04-10,21.25,21.5,21.125,21.125,10.294805526733398,12400
1996-04-11,21.125,21.5,20.625,21.5,10.477553367614746,12600
1996-04-12,21.5,21.625,21.125,21.5,10.477553367614746,5200
1996-04-15,21.375,21.375,21.0,21.25,10.355720520019531,17400
1996-04-16,21.25,21.375,21.0,21.0,10.233888626098633,14600
1996-04-17,21.0,21.5,21.0,21.375,10.416638374328613,7800
1996-04-18,21.375,21.375,21.0,21.25,10.355720520019531,7200
1996-04-19,21.25,21.5,21.125,21.5,10.477553367614746,7800
1996-04-22,21.375,21.375,21.25,21.375,10.416638374328613,5400
1996-04-23,21.375,21.75,21.375,21.75,10.599382400512695,9600
1996-04-24,21.75,21.75,21.375,21.375,10.416638374328613,2000
1996-04-25,21.375,21.625,21.125,21.625,10.53846263885498,5200
1996-04-26,21.625,21.75,21.375,21.5,10.477553367614746,8600
1996-04-29,21.375,21.375,21.125,21.125,10.294805526733398,5200
1996-04-30,21.125,21.25,21.0,21.125,10.294805526733398,11200
1996-05-01,21.125,21.375,21.0,21.25,10.355720520019531,8000
1996-05-02,21.25,21.25,21.0,21.0,10.233888626098633,13800
1996-05-03,21.0,21.25,20.875,21.0,10.233888626098633,14600
1996-05-06,21.0,21.125,21.0,21.0,10.233888626098633,17800
1996-05-07,21.0,21.125,21.0,21.0,10.233888626098633,8000
1996-05-08,21.0,21.625,20.875,21.625,10.53846263885498,30800
1996-05-09,21.625,21.625,21.25,21.625,10.53846263885498,6400
1996-05-10,21.625,21.75,21.5,21.75,10.599382400512695,10000
1996-05-13,21.625,21.625,20.875,20.875,10.172968864440918,11600
1996-05-14,20.875,21.0,20.625,20.875,10.172968864440918,14600
1996-05-15,20.875,21.0,20.75,21.0,10.233888626098633,6600
1996-05-16,21.0,21.0,20.75,20.875,10.23635482788086,5200
1996-05-17,20.875,21.0,20.625,20.875,10.23635482788086,7200
1996-05-20,20.875,21.125,20.75,20.875,10.23635482788086,17000
1996-05-21,20.875,21.125,20.75,21.125,10.358945846557617,9200
1996-05-22,21.0,21.0,20.75,20.875,10.23635482788086,6000
1996-05-23,20.875,21.0,20.75,21.0,10.297648429870605,5000
