Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,6.265625,6.265625,6.171875,6.1875,4.056210517883301,432800
1996-01-03,6.21875,6.40625,6.21875,6.34375,4.158642292022705,727200
1996-01-04,6.4375,6.828125,6.4375,6.625,4.343014240264893,2772800
1996-01-05,6.625,6.671875,6.609375,6.671875,4.373743057250977,903200
1996-01-08,6.671875,6.703125,6.671875,6.671875,4.373743057250977,615200
1996-01-09,6.671875,6.671875,6.5625,6.578125,4.312282562255859,1425600
1996-01-10,6.546875,6.59375,6.46875,6.578125,4.312282562255859,1206400
1996-01-11,6.59375,6.734375,6.578125,6.6875,4.383985996246338,1542400
1996-01-12,6.703125,6.734375,6.671875,6.703125,4.394230365753174,886400
1996-01-15,6.6875,6.8125,6.6875,6.78125,4.445440769195557,596800
1996-01-16,6.78125,6.84375,6.78125,6.84375,4.486414909362793,518400
1996-01-17,6.84375,6.859375,6.8125,6.8125,4.4659318923950195,652800
1996-01-18,6.84375,6.90625,6.84375,6.859375,4.4966559410095215,414400
1996-01-19,6.84375,6.9375,6.84375,6.9375,4.547873497009277,1585600
1996-01-22,6.953125,6.953125,6.8125,6.8125,4.4659318923950195,1105600
1996-01-23,6.828125,6.96875,6.8125,6.953125,4.558115482330322,577600
1996-01-24,6.953125,6.96875,6.90625,6.9375,4.547873497009277,777600
1996-01-25,6.90625,6.90625,6.84375,6.84375,4.486414909362793,141600
1996-01-26,6.8125,6.859375,6.734375,6.796875,4.455685615539551,380800
1996-01-29,6.8125,6.953125,6.8125,6.921875,4.537631511688232,460800
1996-01-30,6.921875,6.921875,6.828125,6.859375,4.4966559410095215,360800
1996-01-31,6.859375,6.9375,6.8125,6.921875,4.537631511688232,449600
1996-02-01,6.9375,6.953125,6.90625,6.9375,4.547873497009277,1204000
1996-02-02,6.953125,6.953125,6.921875,6.921875,4.537631511688232,207200
1996-02-05,6.921875,6.921875,6.875,6.875,4.506901741027832,678400
1996-02-06,6.875,7.0,6.875,6.96875,4.568359375,424000
1996-02-07,6.96875,6.984375,6.9375,6.984375,4.578601360321045,472800
1996-02-08,6.953125,7.046875,6.9375,7.03125,4.609330654144287,681600
1996-02-09,7.0,7.046875,7.0,7.046875,4.619573593139648,225600
1996-02-12,7.015625,7.09375,6.9375,7.0625,4.62981653213501,397600
1996-02-13,6.96875,7.15625,6.921875,7.109375,4.660547733306885,630400
1996-02-14,7.078125,7.09375,6.984375,7.09375,4.650302886962891,296800
1996-02-15,7.0625,7.0625,6.96875,6.984375,4.578601360321045,236000
1996-02-16,7.0,7.0,6.625,6.71875,4.404470920562744,1892000
1996-02-20,6.6875,6.703125,6.53125,6.546875,4.2917985916137695,1147200
1996-02-21,6.53125,6.53125,6.3125,6.359375,4.168885707855225,1328000
1996-02-22,6.46875,6.859375,6.46875,6.796875,4.455685615539551,1739200
1996-02-23,6.78125,6.84375,6.703125,6.734375,4.4147138595581055,463200
1996-02-26,6.703125,6.84375,6.6875,6.75,4.424956798553467,880000
1996-02-27,6.78125,6.78125,6.6875,6.703125,4.394230365753174,581600
1996-02-28,6.671875,6.734375,6.640625,6.671875,4.373743057250977,844800
1996-02-29,6.625,6.71875,6.625,6.71875,4.404470920562744,394400
1996-03-01,6.75,6.765625,6.71875,6.71875,4.404470920562744,284000
1996-03-04,6.734375,7.125,6.734375,7.125,4.67078971862793,1058400
1996-03-05,7.140625,7.359375,7.015625,7.09375,4.650302886962891,1917600
1996-03-06,6.90625,6.953125,6.875,6.875,4.506901741027832,2121600
1996-03-07,6.953125,6.953125,6.734375,6.828125,4.476173400878906,2152800
1996-03-08,6.828125,6.828125,6.671875,6.8125,4.4659318923950195,805600
1996-03-11,6.78125,6.84375,6.78125,6.8125,4.4659318923950195,384800
1996-03-12,6.78125,6.78125,6.5,6.65625,4.363499641418457,4326400
1996-03-13,6.671875,6.796875,6.640625,6.765625,4.435201644897461,452800
1996-03-14,6.765625,6.8125,6.765625,6.765625,4.435201644897461,524800
1996-03-15,6.734375,6.75,6.703125,6.71875,4.404470920562744,379200
1996-03-18,6.7109375,6.75,6.703125,6.71875,4.45111083984375,258400
1996-03-19,6.734375,6.734375,6.578125,6.671875,4.420055866241455,920800
1996-03-20,6.671875,6.734375,6.65625,6.671875,4.420055866241455,499200
1996-03-21,6.6875,6.734375,6.5625,6.5625,4.347598552703857,1820800
1996-03-22,6.546875,6.75,6.546875,6.71875,4.45111083984375,812800
1996-03-25,6.75,6.859375,6.65625,6.75,4.4718146324157715,308800
1996-03-26,6.75,6.890625,6.75,6.890625,4.564976215362549,519200
1996-03-27,6.890625,7.140625,6.890625,7.125,4.720249176025391,1137600
1996-03-28,7.125,7.15625,7.09375,7.09375,4.699542999267578,490400
1996-03-29,7.0625,7.15625,7.03125,7.09375,4.699542999267578,260000
1996-04-01,7.0625,7.140625,7.0625,7.0625,4.678844451904297,287200
1996-04-02,7.0625,7.078125,7.046875,7.078125,4.689194679260254,118400
1996-04-03,7.078125,7.109375,7.0625,7.09375,4.699542999267578,109600
1996-04-04,7.09375,7.09375,7.046875,7.046875,4.668491363525391,62400
1996-04-08,6.984375,6.984375,6.84375,6.890625,4.564976215362549,422400
1996-04-09,6.984375,7.046875,6.984375,7.046875,4.668491363525391,1569600
1996-04-10,7.046875,7.046875,6.984375,7.015625,4.64778995513916,656800
1996-04-11,7.0,7.125,7.0,7.125,4.720249176025391,1461600
1996-04-12,7.125,7.34375,7.125,7.328125,4.854816913604736,1212800
1996-04-15,7.359375,7.53125,7.359375,7.421875,4.91692590713501,1126400
1996-04-16,7.390625,7.59375,7.390625,7.515625,4.97903299331665,1061600
1996-04-17,7.546875,7.546875,7.5,7.546875,4.9997358322143555,1369600
1996-04-18,7.578125,7.875,7.578125,7.75,5.134304523468018,1613600
1996-04-19,7.78125,7.828125,7.78125,7.796875,5.16535758972168,1210400
1996-04-22,7.78125,7.84375,7.78125,7.796875,5.16535758972168,220800
1996-04-23,7.78125,7.921875,7.75,7.875,5.217114448547363,332000
1996-04-24,7.859375,7.875,7.75,7.78125,5.155008316040039,994400
1996-04-25,7.765625,7.9375,7.765625,7.90625,5.237818717956543,1175200
1996-04-26,7.953125,8.15625,7.921875,8.09375,5.362036228179932,904000
1996-04-29,8.125,8.28125,8.125,8.203125,5.434495449066162,1571200
1996-04-30,8.21875,8.265625,8.140625,8.15625,5.403440475463867,228800
1996-05-01,8.15625,8.3125,8.125,8.3125,5.506956577301025,487200
1996-05-02,8.28125,8.296875,8.09375,8.15625,5.403440475463867,582400
1996-05-03,8.1875,8.25,8.125,8.125,5.3827409744262695,861600
1996-05-06,8.15625,8.171875,8.0,8.015625,5.310278415679932,197600
1996-05-07,8.0,8.0,7.875,7.875,5.217114448547363,1104800
1996-05-08,7.796875,7.796875,7.609375,7.78125,5.155008316040039,1707200
1996-05-09,7.796875,8.25,7.796875,8.234375,5.455201148986816,1148800
1996-05-10,8.265625,8.296875,8.15625,8.265625,5.475901126861572,797600
1996-05-13,8.34375,8.421875,8.265625,8.421875,5.579413414001465,999200
1996-05-14,8.90625,9.46875,8.90625,9.3125,6.169448375701904,6284000
1996-05-15,9.1875,9.3125,9.125,9.21875,6.107336521148682,1428800
1996-05-16,9.15625,9.671875,9.15625,9.5625,6.33506965637207,3284800
1996-05-17,9.5625,9.640625,9.453125,9.625,6.37647819519043,2176000
1996-05-20,9.65625,9.65625,9.4375,9.578125,6.345419883728027,675200
1996-05-21,9.609375,9.78125,9.59375,9.765625,6.469635486602783,922400
1996-05-22,9.78125,9.78125,9.5,9.59375,6.355771064758301,1076000
1996-05-23,9.609375,9.609375,9.390625,9.453125,6.262607097625732,644000
1996-05-24,9.515625,9.6875,9.46875,9.671875,6.407528400421143,705600
1996-05-28,9.625,9.671875,9.578125,9.625,6.37647819519043,900000
1996-05-29,9.59375,9.609375,9.375,9.390625,6.22120475769043,1056000
1996-05-30,9.4375,9.453125,9.296875,9.40625,6.231555461883545,924000
1996-05-31,9.40625,9.53125,9.171875,9.484375,6.283313274383545,501600
1996-06-03,9.453125,9.453125,9.359375,9.390625,6.22120475769043,530400
1996-06-04,9.390625,9.484375,9.34375,9.375,6.210855960845947,987200
1996-06-05,9.375,9.375,9.234375,9.234375,6.117690563201904,248800
1996-06-06,9.234375,9.234375,9.09375,9.125,6.045227527618408,480800
1996-06-07,9.15625,9.15625,9.0,9.109375,6.034877300262451,648000
1996-06-10,9.109375,9.109375,9.03125,9.0625,6.0038251876831055,562400
1996-06-11,9.046875,9.34375,9.046875,9.125,6.045227527618408,1205600
1996-06-12,9.140625,9.15625,9.0625,9.140625,6.055581569671631,812000
1996-06-13,9.109375,9.15625,8.71875,8.8125,5.83820104598999,1864800
1996-06-14,8.9375,9.046875,8.890625,8.96875,5.94171667098999,744800
1996-06-17,9.0,9.0,8.6875,8.828125,5.848552703857422,556800
1996-06-18,8.828125,8.84375,8.734375,8.75,5.79679536819458,223200
1996-06-19,8.734375,8.78125,8.703125,8.78125,5.817496299743652,608000
1996-06-20,8.765625,8.78125,8.71875,8.734375,5.786443710327148,625600
1996-06-21,8.734375,8.78125,8.71875,8.734375,5.786443710327148,526400
1996-06-24,8.75,8.90625,8.75,8.859375,5.869256973266602,800800
1996-06-25,8.90625,8.984375,8.828125,8.84375,5.85890531539917,568000
1996-06-26,8.796875,8.84375,8.671875,8.671875,5.810744285583496,683200
1996-06-27,8.6875,8.8125,8.6875,8.75,5.86309289932251,492800
1996-06-28,8.78125,9.25,8.78125,9.125,6.114367485046387,1652000
1996-07-01,9.109375,9.34375,9.078125,9.28125,6.219064712524414,621600
1996-07-02,9.28125,9.34375,9.28125,9.328125,6.250474452972412,509600
1996-07-03,9.359375,9.359375,9.21875,9.234375,6.187656879425049,198400
1996-07-05,9.1875,9.21875,9.078125,9.125,6.114367485046387,307200
1996-07-08,9.03125,9.046875,8.875,8.921875,5.978259563446045,845600
1996-07-09,8.9375,9.109375,8.9375,9.078125,6.082955837249756,316800
1996-07-10,9.109375,9.1875,8.71875,8.859375,5.936381816864014,1331200
1996-07-11,8.75,8.75,8.3125,8.5625,5.73745584487915,1196000
1996-07-12,8.5625,8.8125,8.5625,8.734375,5.852621078491211,1432000
1996-07-15,8.734375,8.75,8.1875,8.25,5.528059959411621,1092800
1996-07-16,8.25,8.25,7.5625,8.09375,5.423360824584961,3390400
1996-07-17,8.171875,8.390625,7.9375,8.390625,5.62228536605835,1544000
1996-07-18,8.453125,8.703125,8.296875,8.65625,5.800274848937988,1416000
1996-07-19,8.625,8.625,8.21875,8.453125,5.6641669273376465,844800
1996-07-22,8.375,8.375,8.15625,8.234375,5.517589569091797,1587200
1996-07-23,8.296875,8.375,7.90625,7.984375,5.350071907043457,1252000
1996-07-24,7.84375,8.125,7.71875,8.0,5.360539436340332,625200
1996-07-25,8.125,8.1875,7.84375,7.9375,5.318662166595459,130800
1996-07-26,7.90625,8.09375,7.90625,8.03125,5.3814802169799805,144400
1996-07-29,8.09375,8.375,8.09375,8.25,5.528059959411621,474400
1996-07-30,8.3125,8.5625,8.3125,8.5625,5.73745584487915,302000
1996-07-31,8.5625,8.8125,8.21875,8.21875,5.5071187019348145,505600
1996-08-01,8.25,8.6875,8.25,8.65625,5.800274848937988,510400
1996-08-02,8.9375,9.125,8.9375,9.09375,6.093425273895264,740800
1996-08-05,9.09375,9.40625,9.0625,9.28125,6.219064712524414,592800
1996-08-06,9.21875,9.25,9.09375,9.21875,6.177186012268066,290000
1996-08-07,9.1875,9.3125,9.1875,9.21875,6.177186012268066,527200
1996-08-08,9.15625,9.375,9.15625,9.1875,6.156245708465576,429200
1996-08-09,9.21875,9.28125,9.09375,9.09375,6.093425273895264,133200
1996-08-12,9.125,9.15625,8.90625,9.0,6.03061056137085,232800
1996-08-13,8.9375,8.9375,8.59375,8.625,5.779333114624023,285600
1996-08-14,8.6875,9.25,8.6875,9.15625,6.135305404663086,847600
1996-08-15,9.375,9.5,9.09375,9.3125,6.240005970001221,2331200
1996-08-16,9.4375,9.625,9.34375,9.5625,6.407521724700928,1193600
1996-08-19,9.375,9.53125,9.375,9.4375,6.323761940002441,274800
1996-08-20,9.375,9.4375,9.09375,9.09375,6.093425273895264,354400
1996-08-21,9.15625,9.21875,9.09375,9.21875,6.177186012268066,305600
1996-08-22,9.03125,9.109375,8.9375,9.0,6.03061056137085,242000
1996-08-23,8.9375,9.15625,8.8125,9.0,6.03061056137085,308400
1996-08-26,9.0625,9.125,8.8125,8.875,5.9468512535095215,145600
1996-08-27,8.875,9.0,8.8125,8.9375,5.988730430603027,212000
1996-08-28,9.0,9.0,8.6875,8.71875,5.842154026031494,304800
1996-08-29,8.75,8.78125,8.6875,8.78125,5.884029388427734,375600
1996-08-30,8.78125,8.8125,8.3125,8.71875,5.842154026031494,558000
1996-09-03,8.71875,8.75,8.4375,8.5,5.695573329925537,1043200
1996-09-04,8.5,8.75,8.5,8.65625,5.800274848937988,740000
1996-09-05,8.65625,8.65625,8.46875,8.625,5.779333114624023,557200
1996-09-06,8.5,8.96875,8.5,8.96875,6.009669303894043,2582000
1996-09-09,9.34375,9.46875,9.28125,9.40625,6.302823066711426,1084400
1996-09-10,9.4375,9.6875,9.4375,9.625,6.449402332305908,858400
1996-09-11,9.625,10.0,9.5,9.9375,6.658796310424805,1116000
1996-09-12,9.9375,10.125,9.875,10.0,6.700674533843994,1045200
1996-09-13,9.9375,10.125,9.9375,9.9375,6.658796310424805,513600
1996-09-16,9.96875,10.03125,9.8125,10.03125,6.721615791320801,545600
1996-09-17,9.84375,9.9375,9.75,9.9375,6.658796310424805,436000
1996-09-18,9.8125,10.03125,9.8125,9.875,6.650382041931152,442400
1996-09-19,9.8125,10.5625,9.71875,10.4375,7.029199600219727,1066800
1996-09-20,10.375,10.5,10.3125,10.375,6.987107276916504,1062400
1996-09-23,10.34375,10.34375,10.125,10.21875,6.881877422332764,504400
1996-09-24,10.25,10.375,10.15625,10.25,6.90292501449585,664000
1996-09-25,10.21875,10.34375,10.125,10.1875,6.86083459854126,385200
1996-09-26,10.28125,10.34375,10.1875,10.28125,6.92396879196167,246000
1996-09-27,10.34375,10.5,10.3125,10.5,7.071292400360107,201600
1996-09-30,10.46875,10.5,10.0,10.0,6.734559535980225,514800
1996-10-01,10.0,10.1875,10.0,10.15625,6.839789867401123,264400
1996-10-02,10.28125,10.4375,10.21875,10.4375,7.029199600219727,390400
1996-10-03,10.5625,10.5625,10.25,10.375,6.987107276916504,444000
1996-10-04,10.46875,10.46875,10.25,10.28125,6.92396879196167,344400
1996-10-07,10.34375,10.34375,10.0625,10.0625,6.7766547203063965,316000
1996-10-08,10.1875,10.21875,9.8125,9.875,6.650382041931152,808800
1996-10-09,9.875,9.90625,9.4375,9.59375,6.460968494415283,726000
1996-10-10,9.6875,10.03125,9.6875,10.03125,6.755608081817627,561200
1996-10-11,10.0,10.1875,9.6875,9.71875,6.5451531410217285,359600
1996-10-14,9.78125,9.90625,9.78125,9.875,6.650382041931152,92000
1996-10-15,9.9375,9.96875,9.65625,9.65625,6.503061294555664,243600
1996-10-16,9.6875,9.75,9.59375,9.75,6.56619930267334,314000
1996-10-17,9.8125,9.84375,9.5625,9.59375,6.460968494415283,301600
1996-10-18,9.625,9.625,9.40625,9.4375,6.355741500854492,278800
1996-10-21,9.46875,9.46875,9.0,9.25,6.229470252990723,431200
1996-10-22,9.25,9.34375,9.125,9.1875,6.187376976013184,378000
1996-10-23,9.15625,9.4375,9.15625,9.4375,6.355741500854492,348000
1996-10-24,9.40625,9.65625,9.375,9.625,6.48201847076416,535200
1996-10-25,9.59375,9.71875,9.46875,9.46875,6.376787185668945,405600
1996-10-28,9.4375,9.46875,8.75,8.96875,6.040060043334961,749200
1996-10-29,9.09375,9.3125,9.0625,9.1875,6.187376976013184,974800
1996-10-30,9.25,9.3125,8.96875,9.1875,6.187376976013184,524000
1996-10-31,9.25,9.375,9.15625,9.25,6.229470252990723,481200
1996-11-01,9.375,9.5,9.34375,9.40625,6.334695816040039,356800
1996-11-04,9.375,9.40625,9.0,9.09375,6.124239921569824,520400
1996-11-05,9.1875,9.21875,8.875,8.9375,6.019014358520508,272000
1996-11-06,9.03125,9.21875,8.96875,9.21875,6.20842170715332,566000
1996-11-07,9.21875,9.4375,9.125,9.3125,6.271562099456787,814000
1996-11-08,9.3125,9.34375,9.0,9.125,6.1452860832214355,534800
1996-11-11,9.1875,9.1875,8.9375,9.0,6.061106204986572,327600
1996-11-12,9.15625,9.25,8.875,9.21875,6.20842170715332,750800
1996-11-13,9.25,9.625,9.25,9.53125,6.418880939483643,1717200
1996-11-14,9.3125,9.4375,8.59375,8.875,5.976924419403076,5148800
1996-11-15,9.0,9.1875,8.9375,9.0625,6.103195667266846,3127200
1996-11-18,9.0625,9.0625,8.8125,8.96875,6.040060043334961,698000
1996-11-19,9.0,9.53125,9.0,9.3125,6.271562099456787,1458800
1996-11-20,9.40625,9.59375,9.40625,9.5625,6.439924240112305,965200
1996-11-21,9.5625,9.5625,9.21875,9.25,6.229470252990723,539200
1996-11-22,9.3125,9.3125,9.25,9.28125,6.25051212310791,236000
1996-11-25,9.3125,9.40625,9.1875,9.28125,6.25051212310791,795200
1996-11-26,9.28125,9.28125,9.15625,9.1875,6.187376976013184,595600
1996-11-27,9.21875,9.28125,9.09375,9.125,6.1452860832214355,315600
1996-11-29,9.21875,9.21875,9.15625,9.21875,6.20842170715332,101600
1996-12-02,9.21875,9.375,9.0625,9.15625,6.166332721710205,1243200
1996-12-03,9.25,9.28125,8.9375,9.03125,6.082149028778076,1664000
1996-12-04,9.03125,9.25,9.03125,9.1875,6.187376976013184,1643600
1996-12-05,9.21875,9.5,9.1875,9.5,6.39783239364624,1038400
1996-12-06,9.3125,9.375,9.09375,9.09375,6.124239921569824,1076000
1996-12-09,9.21875,9.25,9.03125,9.125,6.1452860832214355,358000
1996-12-10,9.3125,9.3125,9.03125,9.09375,6.124239921569824,295200
1996-12-11,8.96875,8.96875,8.8125,8.875,5.976924419403076,656000
1996-12-12,8.96875,9.09375,8.96875,9.0,6.061106204986572,1385600
1996-12-13,9.0,9.03125,8.8125,8.84375,5.9558796882629395,794800
1996-12-16,8.78125,8.78125,8.4375,8.5,5.724376201629639,1300000
1996-12-17,8.40625,8.5625,8.375,8.53125,5.745422840118408,978800
1996-12-18,8.59375,8.65625,8.46875,8.5,5.75812292098999,1388800
1996-12-19,8.5,8.875,8.5,8.875,6.012159824371338,1479200
1996-12-20,8.96875,9.375,8.84375,9.25,6.266196250915527,1406800
1996-12-23,9.25,9.46875,9.125,9.4375,6.393208026885986,876000
1996-12-24,9.375,9.375,9.25,9.28125,6.287361145019531,216000
1996-12-26,9.34375,9.34375,9.25,9.28125,6.287361145019531,146800
1996-12-27,9.21875,9.375,9.21875,9.3125,6.308534622192383,161600
1996-12-30,9.3125,9.59375,9.3125,9.40625,6.372042179107666,343600
1996-12-31,9.3125,9.3125,9.0,9.15625,6.202683925628662,370800
1997-01-02,9.21875,9.21875,8.78125,8.84375,5.990991592407227,278000
1997-01-03,8.90625,9.0625,8.84375,8.84375,5.990991592407227,646800
1997-01-06,8.875,8.875,8.46875,8.53125,5.779294490814209,1031600
1997-01-07,8.46875,8.75,8.46875,8.6875,5.885141372680664,1326000
1997-01-08,8.6875,9.0,8.6875,8.84375,5.990991592407227,1043200
1997-01-09,9.25,9.34375,9.1875,9.3125,6.308534622192383,1242800
1997-01-10,9.25,9.34375,9.21875,9.34375,6.329705238342285,570000
1997-01-13,9.3125,9.53125,9.3125,9.53125,6.456722736358643,764400
1997-01-14,9.53125,9.5625,9.46875,9.53125,6.456722736358643,1237600
1997-01-15,9.5,9.53125,9.375,9.5,6.435550689697266,553600
1997-01-16,9.5625,9.6875,9.53125,9.65625,6.541399002075195,311200
1997-01-17,9.625,9.625,9.4375,9.5,6.435550689697266,434800
1997-01-20,9.5,9.5625,9.34375,9.34375,6.329705238342285,317600
1997-01-21,9.25,9.3125,9.125,9.3125,6.308534622192383,970400
1997-01-22,9.25,9.28125,9.0625,9.25,6.266196250915527,794800
1997-01-23,9.21875,9.28125,9.09375,9.15625,6.202683925628662,412000
1997-01-24,9.09375,9.09375,8.75,8.8125,5.96981954574585,887200
1997-01-27,8.71875,8.90625,8.6875,8.90625,6.033327579498291,334000
1997-01-28,8.96875,9.3125,8.96875,9.25,6.266196250915527,881200
1997-01-29,9.21875,9.375,9.125,9.3125,6.308534622192383,657600
1997-01-30,9.3125,9.71875,9.3125,9.71875,6.583739280700684,819600
1997-01-31,9.6875,9.75,9.28125,9.34375,6.329705238342285,875600
1997-02-03,9.34375,9.375,9.0625,9.1875,6.22385311126709,661600
1997-02-04,9.1875,9.3125,9.09375,9.3125,6.308534622192383,816000
1997-02-05,9.3125,9.3125,9.0625,9.09375,6.160344123840332,409200
1997-02-06,9.09375,9.3125,9.09375,9.15625,6.202683925628662,428000
1997-02-07,9.25,9.25,9.0625,9.09375,6.160344123840332,501600
1997-02-10,9.09375,9.09375,8.875,8.875,6.012159824371338,682800
1997-02-11,8.90625,8.9375,8.71875,8.75,5.927481651306152,721200
1997-02-12,8.875,9.09375,8.78125,8.90625,6.033327579498291,1198800
1997-02-13,8.96875,9.0,8.6875,8.875,6.012159824371338,1364400
1997-02-14,8.90625,9.0,8.84375,8.875,6.012159824371338,398000
1997-02-18,8.90625,8.90625,8.78125,8.84375,5.990991592407227,220800
1997-02-19,8.84375,8.84375,8.5625,8.75,5.927481651306152,756800
1997-02-20,8.71875,8.8125,8.6875,8.71875,5.906312942504883,384400
1997-02-21,8.78125,8.78125,8.6875,8.71875,5.906312942504883,336800
1997-02-24,8.6875,8.75,8.5625,8.6875,5.885141372680664,802800
1997-02-25,8.75,9.0625,8.75,9.0,6.096839904785156,513600
1997-02-26,8.96875,9.09375,8.8125,8.9375,6.054498672485352,260400
1997-02-27,8.96875,8.96875,8.78125,8.84375,5.990991592407227,596800
1997-02-28,8.8125,8.8125,8.625,8.6875,5.885141372680664,535600
1997-03-03,8.78125,9.0,8.71875,8.9375,6.054498672485352,439600
1997-03-04,9.0,9.3125,8.96875,9.28125,6.287361145019531,1120400
1997-03-05,9.375,9.5,9.03125,9.40625,6.372042179107666,1642800
1997-03-06,9.625,10.03125,9.59375,9.78125,6.626077175140381,2190000
1997-03-07,9.71875,9.96875,9.65625,9.9375,6.731924057006836,2710400
1997-03-10,9.90625,10.5625,9.90625,10.53125,7.134145736694336,3101600
1997-03-11,10.1875,10.4375,10.15625,10.3125,6.985962390899658,1383200
1997-03-12,10.25,10.3125,10.1875,10.28125,6.964788436889648,436800
1997-03-13,10.25,10.40625,10.09375,10.34375,7.007130146026611,1050000
1997-03-14,10.3125,10.4375,10.25,10.40625,7.049467086791992,525200
1997-03-17,10.34375,10.34375,10.0625,10.1875,6.901279926300049,705200
1997-03-18,10.125,10.28125,10.0625,10.25,6.977867603302002,702400
1997-03-19,10.1875,10.3125,10.15625,10.3125,7.0204176902771,674400
1997-03-20,10.3125,10.5,10.21875,10.5,7.148061752319336,490800
1997-03-21,10.53125,10.65625,10.3125,10.65625,7.254435062408447,1226000
1997-03-24,10.65625,10.65625,10.28125,10.375,7.062964916229248,856000
1997-03-25,10.375,10.40625,10.28125,10.40625,7.084237098693848,265200
1997-03-26,10.375,10.5,10.28125,10.28125,6.999141693115234,276400
1997-03-27,10.4375,10.4375,9.90625,9.9375,6.765127182006836,637200
1997-03-31,9.9375,9.9375,9.5,9.5,6.467291831970215,649200
1997-04-01,9.53125,9.96875,9.53125,9.875,6.7225847244262695,581600
1997-04-02,9.875,9.90625,9.78125,9.8125,6.68002986907959,284800
1997-04-03,9.78125,9.8125,9.625,9.71875,6.616211414337158,574400
1997-04-04,9.71875,9.96875,9.6875,9.9375,6.765127182006836,457600
